route_id,trip_id,trip_headsign,origin,destination,start_time,end_time,delay,energy_rate,energy_consumed,initial_soc,final_soc,total_distance,total_time,avg_speed,avg_acceleration,shape_id,road_grade,has_station,dist_from_station
3J,135685:300721,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,06:45:00,07:04:00,0 min,0.7719741146703806,6.651328971999999,90,81.685838785,8.616,19.0,19.54278571428572,589.4077551020397,3287,-2.204,no,0.0
3J,135656:303583,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,07:07:00,07:25:00,3.0 min,0.7888868746844387,5.208231146666665,90,83.48971106666667,6.602,18.0,16.407619047619036,542.6448979591854,3286,-2.061,yes,6.602
3J,135703:301660,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,07:45:00,08:06:00,20.0 min,0.7742341146703804,6.670801131999998,90,81.661498585,8.616,21.0,18.32278571428572,524.2877551020403,3287,-2.204,no,0.0
3J,135658:303571,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,08:07:00,08:25:00,1.0 min,0.7888868746844389,5.208231146666666,90,83.48971106666667,6.602,18.0,16.407619047619054,542.6448979591777,3286,-2.061,yes,6.602
3J,135720:299592,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,08:45:00,09:06:00,20.0 min,0.7742341146703805,6.6708011319999985,90,81.661498585,8.616,21.0,18.32278571428573,524.2877551020396,3287,-2.204,no,0.0
3J,135660:303722,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,09:07:00,09:25:00,1.0 min,0.7888868746844389,5.208231146666666,90,83.48971106666667,6.602,18.0,16.407619047619054,542.6448979591777,3286,-2.061,yes,6.602
3J,135622:299917,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,09:45:00,10:06:00,20.0 min,0.7742341146703805,6.6708011319999985,90,81.661498585,8.616,21.0,18.32278571428573,524.2877551020396,3287,-2.204,no,0.0
3J,134883:303725,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,10:07:00,10:25:00,1.0 min,0.7888868746844389,5.208231146666666,90,83.48971106666667,6.602,18.0,16.407619047619054,542.6448979591777,3286,-2.061,yes,6.602
3J,134900:299307,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,10:45:00,11:06:00,20.0 min,0.7742341146703805,6.6708011319999985,90,81.661498585,8.616,21.0,18.32278571428573,524.2877551020396,3287,-2.204,no,0.0
3J,134885:303023,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,11:07:00,11:25:00,1.0 min,0.7888868746844389,5.208231146666666,90,83.48971106666667,6.602,18.0,16.407619047619054,542.6448979591777,3286,-2.061,yes,6.602
