route_id,trip_id,trip_headsign,origin,destination,start_time,end_time,delay,energy_rate,energy_consumed,initial_soc,final_soc,total_distance,total_time,avg_speed,avg_acceleration,shape_id,road_grade,has_station,dist_from_station
3M,135553:301373,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,06:25:00,06:44:00,0 min,0.9482319118457299,6.884163679999999,90,81.3947954,7.26,19.0,17.08685714285714,427.3645714285728,3296,-1.743,yes,7.26
3M,135687:299217,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,07:00:00,07:29:00,16.0 min,0.9581957360313401,7.50075622165333,90,80.62405472293334,7.828,29.0,13.095253333333323,195.80785777777743,3277,-1.562,no,0.0
3M,135571:300291,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,07:30:00,07:59:00,1.0 min,0.9228551117572764,7.8359627539310335,90,80.2050465575862,8.491,29.0,13.818049261083749,266.3142237860674,3279,-1.743,yes,8.491
3M,135705:300033,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,08:00:00,08:29:00,1.0 min,0.9581957360313403,7.500756221653332,90,80.62405472293334,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,no,0.0
3M,135585:300370,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,08:30:00,08:59:00,1.0 min,0.9228551117572766,7.835962753931035,90,80.2050465575862,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,yes,8.491
3M,135722:301285,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,09:00:00,09:29:00,1.0 min,0.9581957360313403,7.500756221653332,90,80.62405472293334,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,no,0.0
3M,135599:300987,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,09:30:00,09:59:00,1.0 min,0.9228551117572766,7.835962753931035,90,80.2050465575862,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,yes,8.491
3M,135378:300796,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,10:00:00,10:29:00,1.0 min,0.9581957360313403,7.500756221653332,90,80.62405472293334,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,no,0.0
3M,135349:299606,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,10:30:00,10:59:00,1.0 min,0.9228551117572766,7.835962753931035,90,80.2050465575862,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,yes,8.491
3M,135382:300792,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,11:00:00,11:29:00,1.0 min,0.9581957360313403,7.500756221653332,90,80.62405472293334,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,no,0.0
3M,135353:299884,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,11:30:00,11:59:00,1.0 min,0.9228551117572766,7.835962753931035,90,80.2050465575862,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,yes,8.491
3M,135386:300458,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,12:00:00,12:29:00,1.0 min,0.9581957360313403,7.500756221653332,90,80.62405472293334,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,no,0.0
3M,135357:299306,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,12:30:00,12:59:00,1.0 min,0.9228551117572766,7.835962753931035,90,80.2050465575862,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,yes,8.491
3M,135390:300849,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,13:00:00,13:29:00,1.0 min,0.9581957360313403,7.500756221653332,90,80.62405472293334,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,no,0.0
3M,135361:300855,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,13:30:00,13:59:00,1.0 min,0.9228551117572766,7.835962753931035,90,80.2050465575862,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,yes,8.491
3M,135394:301081,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,14:00:00,14:29:00,1.0 min,0.9581957360313403,7.500756221653332,90,80.62405472293334,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,no,0.0
3M,135365:300329,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,14:30:00,14:59:00,1.0 min,0.9228551117572766,7.835962753931035,90,80.2050465575862,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,yes,8.491
3M,135398:301704,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,15:00:00,15:29:00,1.0 min,0.9581957360313403,7.500756221653332,90,80.62405472293334,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,no,0.0
3M,135369:300595,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,15:30:00,15:59:00,1.0 min,0.9228551117572766,7.835962753931035,90,80.2050465575862,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,yes,8.491
3M,135402:301459,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,16:00:00,16:29:00,1.0 min,0.9581957360313398,7.500756221653328,90,80.62405472293334,7.828,29.0,13.095253333333284,195.807857777776,3277,-1.562,no,0.0
3M,135373:299224,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,16:30:00,16:59:00,1.0 min,0.9228551117572759,7.835962753931029,90,80.20504655758621,8.491,29.0,13.818049261083678,266.3142237860655,3279,-1.743,yes,8.491
