stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
1000,Ft. Wm. Rd. & Transit Office (SB),48.417,-89.23596,0,1000
1002,Ft. Wm. Rd. & Central,48.41436,-89.23756,0,1002
1003,Ft. Wm. Rd. & Walmart,48.41212,-89.23859,0,1003
1004,Ft. Wm. Rd. & Harbour Expy,48.40783,-89.24046,0,1004
1005,Ft. Wm. Rd. & Intercity,48.40517,-89.24158,0,1005
1006,Intercity Shopping Centre,48.40344,-89.24327,0,1006
1007,Ft. Wm. Rd. & Northern,48.39989,-89.24107,0,1007
1008,Simpson & Southern,48.39786,-89.2392,0,1008
1009,Simpson & Assef Ct.,48.39705,-89.23857,0,1009
1010,Simpson & Pacific,48.39505,-89.237,0,1010
1011,Simpson & Rowand,48.39361,-89.23583,0,1011
1012,Simpson & Ogden,48.39148,-89.23687,0,1012
1013,Simpson & Finlayson,48.39038,-89.23785,0,1013
1014,Simpson & Dease,48.38845,-89.23938,0,1014
1015,Simpson & Bethune,48.38689,-89.24067,0,1015
1019,City Hall Terminal,48.38246,-89.2458,0,1019
1021,Donald & Cent. Sq.,48.38254,-89.24942,0,1021
1022,Vickers & Victoria,48.38326,-89.25102,0,1022
1023,Victoria & Marks,48.38423,-89.25373,0,1023
1024,Court & River,48.44155,-89.21588,0,1024
1026,Franklin & Arthur,48.38123,-89.25678,0,1026
1027,Franklin & Isabella,48.37781,-89.25672,0,1027
1028,Franklin & Moodie,48.37614,-89.25676,0,1028
1029,Walsh & Franklin,48.37441,-89.25764,0,1029
1030,Walsh & St. Pats,48.3744,-89.25984,0,1030
1031,Sprague & Empire,48.37181,-89.26151,0,1031
1034,Sprague & Brock,48.36875,-89.26153,0,1034
1035,Brock & 300s Block,48.36842,-89.26436,0,1035
1036,Brock & Tarbutt,48.36843,-89.26762,0,1036
1037,Brock & 200s Block,48.36842,-89.2699,0,1037
1038,Ford & Brock,48.36803,-89.27294,0,1038
1039,Ford & Frederica,48.36565,-89.27293,0,1039
1040,Frederica & Ford,48.36515,-89.27391,0,1040
1041,Frederica & 100s Block,48.36516,-89.27557,0,1041
1042,Frederica & Edward,48.36516,-89.27816,0,1042
1043,Frederica & Brown,48.36516,-89.28197,0,1043
1044,Frederica & 200s Block,48.36515,-89.28366,0,1044
1045,Frederica & Heath,48.36517,-89.28573,0,1045
1046,Frederica at James,48.36517,-89.2884,0,1046
1047,Frederica & Centre,48.36515,-89.29217,0,1047
1048,Frederica & Mountdale,48.36515,-89.29491,0,1048
1049,Frederica & Crawford,48.36514,-89.2981,0,1049
1050,Frederica & Stanley,48.36515,-89.30028,0,1050
1051,Frederica & Georgina,48.36515,-89.3021,0,1051
1052,Frederica & Alpine,48.36516,-89.30487,0,1052
1053,Neebing & Francis,48.36696,-89.30602,0,1053
1054,Mary & Neebing,48.36927,-89.30546,0,1054
1055,Mary & Holt,48.36929,-89.30354,0,1055
1056,Mary & Georgina,48.3693,-89.30128,0,1056
1057,Mary & Nipigon,48.3694,-89.29933,0,1057
1058,Mary & Home,48.3694,-89.29652,0,1058
1059,Mary & Broadmore,48.3694,-89.29385,0,1059
1060,Mary & Euclid,48.36941,-89.29065,0,1060
1061,Mary & Yonge,48.36941,-89.2881,0,1061
