route_id,service_id,trip_id,trip_headsign,shape_id
5,299107,132562:299107,EDWARD to Waterfront,3119
3M,299108,138931:299108,MEMORIAL to Northwood,3149
5,299109,134856:299109,EDWARD to Westfort,3136
5,299111,134868:299111,EDWARD to Waterfront,3119
3M,299115,135391:299115,MEMORIAL to Northwood,3278
12,299116,134715:299116,to City Hall,3244
3C,299120,139000:299120,COUNTY PARK to Northwood,3271
13,299122,134638:299122,JOHN-JUMBO to Waterfront,3223
16,299123,135510:299123,BALMORAL to City Hall,3166
7,299124,137416:299124,HUDSON to Waterfront,3172
10,299125,139109:299125,NORTHWOOD to College,3264
14,299132,139033:299132,ARTHUR to City Hall,3243
1,299137,134134:299137,MAINLINE to Westfort,3130
1,299145,138858:299145,MAINLINE to City Hall,3114
11,299148,134819:299148,JOHN to Waterfront,3280
1,299152,138861:299152,MAINLINE to City Hall,3114
13,299154,139124:299154,JOHN-JUMBO to Waterfront,3223
5,299163,134847:299163,EDWARD to Waterfront,3119
1,299165,132657:299165,MAINLINE to Westfort,3130
3M,299169,138904:299169,MEMORIAL to County Park,3175
7,299170,137415:299170,HUDSON to Waterfront,3172
2,299173,138792:299173,CROSSTOWN to Waterfront,3262
14,299183,134753:299183,ARTHUR to Jumbo Gardens,3288
3M,299185,138899:299185,MEMORIAL to County Park,3175
5,299186,134873:299186,EDWARD to Waterfront,3119
11,299191,134823:299191,JOHN to Waterfront,3280
7,299195,132759:299195,HUDSON to Waterfront,3172
3M,299198,135414:299198,MEMORIAL to City Hall,3126
5,299202,134303:299202,EDWARD to Waterfront,3119
10,299204,135536:299204,NORTHWOOD to County Park,3100
10,299205,134970:299205,NORTHWOOD to County Park,3100
3M,299206,138945:299206,MEMORIAL to City Hall,3126
2,299209,132742:299209,CROSSTOWN to Waterfront,3262
9,299210,133936:299210,JUNOT to Waterfront,3261
2,299211,138802:299211,CROSSTOWN to Waterfront,3262
3M,299212,135409:299212,MEMORIAL to Northwood,3278
10,299213,134420:299213,NORTHWOOD to County Park,3100
3C,299214,135542:299214,COUNTY PARK to Northwood,3271
14,299215,134765:299215,ARTHUR to Airport,3145
3M,299217,135687:299217,MEMORIAL to Airport,3277
2,299220,133917:299220,CROSSTOWN to Westfort,3113
16,299221,134680:299221,BALMORAL to City Hall,3166
12,299222,134720:299222,to City Hall,3244
3M,299223,138925:299223,MEMORIAL to Northwood,3149
3M,299224,135373:299224,MEMORIAL to County Park,3279
16,299228,137409:299228,BALMORAL to City Hall,3166
11,299229,134824:299229,JOHN to Waterfront,3280
2,299232,132738:299232,CROSSTOWN to Waterfront,3128
2,299237,138799:299237,CROSSTOWN to Waterfront,3128
7,299239,132758:299239,HUDSON to Waterfront,3172
7,299240,132769:299240,HUDSON to Waterfront,3172
5,299243,134834:299243,EDWARD to Westfort,3136
14,299246,134759:299246,ARTHUR to Jumbo Gardens,3288
13,299252,139128:299252,JOHN-JUMBO to Waterfront,3223
9,299255,135120:299255,JUNOT to Waterfront,3261
9,299257,135145:299257,JUNOT to Intercity,3260
10,299258,134961:299258,NORTHWOOD to College,3264
7,299259,134050:299259,HUDSON to Waterfront,3172
14,299260,134360:299260,ARTHUR to Jumbo Gardens,3288
3M,299261,135367:299261,MEMORIAL to County Park,3279
3M,299265,135618:299265,MEMORIAL to Northwood,3278
3C,299267,134994:299267,COUNTY PARK to Northwood,3271
11,299268,134812:299268,JOHN to Waterfront,3280
14,299269,134368:299269,ARTHUR to Jumbo Gardens,3288
2,299270,138790:299270,CROSSTOWN to Waterfront,3262
13,299271,134651:299271,JOHN-JUMBO to County Fair,3265
2,299273,133885:299273,CROSSTOWN to Waterfront,3262
11,299274,134814:299274,JOHN to Waterfront,3280
3M,299278,135366:299278,MEMORIAL to Jumbo Gardens,3281
1,299286,135040:299286,MAINLINE to Westfort,3130
6,299287,134656:299287,MISSION RD.,3104
3M,299288,135389:299288,MEMORIAL to Northwood,3278
3M,299291,135417:299291,MEMORIAL to Northwood,3149
5,299292,134882:299292,EDWARD to Waterfront,3119
10,299293,134412:299293,NORTHWOOD to County Park,3100
5,299297,135508:299297,EDWARD to Westfort,3136
7,299298,132768:299298,HUDSON to Waterfront,3172
7,299304,134068:299304,HUDSON to Waterfront,3172
3M,299306,135357:299306,MEMORIAL to County Park,3279
3J,299307,134900:299307,JUMBO GARDENS to Sherwood Dr.,3287
2,299309,133926:299309,CROSSTOWN to Westfort,3113
10,299315,134417:299315,NORTHWOOD to County Park,3100
11,299316,135646:299316,JOHN to Waterfront,3280
11,299317,135641:299317,JOHN to Waterfront,3280
1,299319,132658:299319,MAINLINE to Westfort,3130
3C,299322,135543:299322,COUNTY PARK to Northwood,3271
2,299323,138798:299323,CROSSTOWN to Waterfront,3262
13,299328,139112:299328,JOHN-JUMBO to Waterfront,3223
9,299329,135095:299329,JUNOT to Waterfront,3096
3M,299332,138929:299332,MEMORIAL to Northwood,3149
1,299335,132690:299335,MAINLINE to City Hall,3114
3M,299339,135364:299339,MEMORIAL to Jumbo Gardens,3281
11,299344,134820:299344,JOHN to Waterfront,3280
2,299345,133899:299345,CROSSTOWN to Waterfront,3262
14,299350,132453:299350,ARTHUR to City Hall,3243
3J,299352,134910:299352,JUMBO GARDENS to Sherwood Dr.,3287
7,299356,134076:299356,HUDSON to Waterfront,3172
5,299358,138980:299358,EDWARD to Waterfront,3119
2,299363,138794:299363,CROSSTOWN to Waterfront,3262
1,299367,135609:299367,MAINLINE to Westfort,3130
16,299369,134677:299369,BALMORAL to City Hall,3166
5,299370,134837:299370,EDWARD to Westfort,3136
3M,299381,135358:299381,MEMORIAL to Jumbo Gardens,3281
9,299382,138687:299382,JUNOT to Waterfront,3096
7,299385,132755:299385,HUDSON to Waterfront,3172
5,299386,134286:299386,EDWARD to Westfort,3136
1,299388,132659:299388,MAINLINE to Westfort,3130
5,299389,135621:299389,EDWARD to Waterfront,3119
1,299390,132660:299390,MAINLINE to Westfort,3130
3M,299394,135388:299394,MEMORIAL to Airport,3277
3M,299399,135377:299399,MEMORIAL to County Park,3175
7,299400,138748:299400,HUDSON to Waterfront,3172
13,299401,134654:299401,JOHN-JUMBO to County Fair,3265
9,299403,135111:299403,JUNOT to Waterfront,3261
2,299404,133918:299404,CROSSTOWN to Westfort,3113
14,299405,134748:299405,ARTHUR to Jumbo Gardens,3288
16,299407,134686:299407,BALMORAL to City Hall,3166
5,299408,135614:299408,EDWARD to College,3299
3M,299410,135559:299410,MEMORIAL to Jumbo Gardens,3281
10,299415,134435:299415,NORTHWOOD to College,3264
5,299416,135613:299416,EDWARD to College,3299
9,299420,133963:299420,JUNOT to Waterfront,3096
10,299427,134437:299427,NORTHWOOD to College,3264
14,299429,134758:299429,ARTHUR to Jumbo Gardens,3288
9,299432,138666:299432,JUNOT to Waterfront,3096
16,299433,134485:299433,BALMORAL to College,3152
9,299439,132863:299439,JUNOT to Waterfront,3096
3M,299445,135413:299445,MEMORIAL to Northwood,3149
3M,299447,135355:299447,MEMORIAL to County Park,3279
10,299450,132447:299450,NORTHWOOD to College,3264
5,299452,134849:299452,EDWARD to Waterfront,3119
9,299453,135629:299453,JUNOT to Waterfront,3261
