trip_id,service_id,trip_headsign,route_id,shape_id,origin,destination,start_time,end_time,road_grade,total_time,total_distance,avg_speed,avg_acceleration,stop_density,has_station,dist_to_station,time_at_station
132512:305475,305475,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,08:40:00,08:57:00,-2.979,17.0,7.525,16.15978378378378,271.8183783783779,4.916943521594684,-,0.0,-
132492:304762,304762,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,08:59:00,09:15:00,-3.24,16.0,8.07,18.965999999999973,497.5740000000023,3.9653035935563814,Waterfront Terminal,8.07,09:15:00
132513:306067,306067,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,09:20:00,09:37:00,-2.979,17.0,7.525,16.159783783783787,271.81837837837924,4.916943521594684,-,0.0,-
132493:305790,305790,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,09:39:00,09:55:00,-3.24,16.0,8.07,18.96600000000008,497.5740000000002,3.9653035935563814,Waterfront Terminal,8.07,09:55:00
132514:305232,305232,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,10:00:00,10:17:00,-2.979,17.0,7.525,16.159783783783762,271.81837837837884,4.916943521594684,-,0.0,-
132494:305726,305726,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,10:19:00,10:35:00,-3.24,16.0,8.07,18.965999999999998,497.5740000000032,3.9653035935563814,Waterfront Terminal,8.07,10:35:00
132515:305660,305660,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,10:40:00,10:57:00,-2.979,17.0,7.525,16.15978378378378,271.8183783783779,4.916943521594684,-,0.0,-
132495:306029,306029,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,10:59:00,11:15:00,-3.24,16.0,8.07,18.965999999999973,497.5740000000023,3.9653035935563814,Waterfront Terminal,8.07,11:15:00
132516:305192,305192,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,11:20:00,11:37:00,-2.979,17.0,7.525,16.159783783783787,271.81837837837924,4.916943521594684,-,0.0,-
132496:304977,304977,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,11:41:00,12:00:00,-3.24,19.0,8.07,17.44364285714288,491.7370204081642,3.9653035935563814,Waterfront Terminal,8.07,12:00:00
132517:304786,304786,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,12:05:00,12:25:00,-2.979,20.0,7.525,15.11978378378378,335.45513513513697,4.916943521594684,-,0.0,-
132497:305979,305979,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,12:26:00,12:45:00,-3.24,19.0,8.07,17.44364285714288,491.7370204081642,3.9653035935563814,Waterfront Terminal,8.07,12:45:00
132518:305248,305248,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,12:50:00,13:10:00,-2.979,20.0,7.525,15.11978378378378,335.45513513513697,4.916943521594684,-,0.0,-
132498:306071,306071,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,13:11:00,13:30:00,-3.24,19.0,8.07,17.44364285714288,491.7370204081642,3.9653035935563814,Waterfront Terminal,8.07,13:30:00
132519:305125,305125,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,13:35:00,13:55:00,-2.979,20.0,7.525,15.11978378378378,335.45513513513697,4.916943521594684,-,0.0,-
132499:305431,305431,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,13:56:00,14:15:00,-3.24,19.0,8.07,17.44364285714288,491.7370204081642,3.9653035935563814,Waterfront Terminal,8.07,14:15:00
132520:305229,305229,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,14:20:00,14:40:00,-2.979,20.0,7.525,15.11978378378378,335.45513513513697,4.916943521594684,-,0.0,-
132500:305307,305307,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,14:41:00,15:00:00,-3.24,19.0,8.07,17.44364285714288,491.7370204081642,3.9653035935563814,Waterfront Terminal,8.07,15:00:00
132521:305690,305690,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,15:05:00,15:25:00,-2.979,20.0,7.525,15.11978378378378,335.45513513513697,4.916943521594684,-,0.0,-
132501:305558,305558,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,15:26:00,15:45:00,-3.24,19.0,8.07,17.44364285714288,491.7370204081642,3.9653035935563814,Waterfront Terminal,8.07,15:45:00
132522:304682,304682,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,15:50:00,16:10:00,-2.979,20.0,7.525,15.119783783783769,335.4551351351355,4.916943521594684,-,0.0,-
132502:306077,306077,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,16:11:00,16:30:00,-3.24,19.0,8.07,17.443642857142926,491.737020408161,3.9653035935563814,Waterfront Terminal,8.07,16:30:00
132523:305020,305020,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,16:35:00,16:55:00,-2.979,20.0,7.525,15.1197837837838,335.455135135135,4.916943521594684,-,0.0,-
132503:305854,305854,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,16:56:00,17:15:00,-3.24,19.0,8.07,17.443642857142926,491.737020408161,3.9653035935563814,Waterfront Terminal,8.07,17:15:00
132524:305157,305157,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,17:20:00,17:40:00,-2.979,20.0,7.525,15.1197837837838,335.455135135135,4.916943521594684,-,0.0,-
132504:304663,304663,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,17:40:00,17:59:00,-3.24,19.0,8.07,17.44364285714291,491.7370204081648,3.9653035935563814,Waterfront Terminal,8.07,17:59:00
132525:305589,305589,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,18:03:00,18:20:00,-2.979,17.0,7.525,16.15978378378379,271.8183783783756,4.916943521594684,-,0.0,-
132505:305404,305404,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,18:20:00,18:39:00,-3.24,19.0,8.07,17.4436428571428,491.73702040817,3.9653035935563814,Waterfront Terminal,8.07,18:39:00
132526:305739,305739,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,18:48:00,19:05:00,-2.979,17.0,7.525,16.15978378378379,271.8183783783756,4.916943521594684,-,0.0,-
132506:305900,305900,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,19:07:00,19:23:00,-3.24,16.0,8.07,18.96600000000007,497.57400000000166,3.9653035935563814,Waterfront Terminal,8.07,19:23:00
132527:304803,304803,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,19:33:00,19:50:00,-2.979,17.0,7.525,16.15978378378379,271.8183783783756,4.916943521594684,-,0.0,-
132507:305181,305181,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,19:52:00,20:08:00,-3.24,16.0,8.07,18.96600000000007,497.57400000000166,3.9653035935563814,Waterfront Terminal,8.07,20:08:00
132528:305645,305645,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,20:18:00,20:35:00,-2.979,17.0,7.525,16.15978378378379,271.8183783783756,4.916943521594684,-,0.0,-
132508:305748,305748,COUNTY PARK to Northwood,3C,3305,Castlegreen & Superiorview,Waterfront Terminal,20:37:00,20:53:00,-3.24,16.0,8.07,18.96600000000007,497.57400000000166,3.9653035935563814,Waterfront Terminal,8.07,20:53:00
132529:305252,305252,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,21:03:00,21:20:00,-2.979,17.0,7.525,16.15978378378379,271.8183783783756,4.916943521594684,-,0.0,-
