trip_id,service_id,trip_headsign,route_id,shape_id,origin,destination,start_time,end_time,road_grade,total_time,total_distance,avg_speed,avg_acceleration,stop_density,has_station,dist_to_station,time_at_station
138906:299791,299791,MEMORIAL to Northwood,3M,3149,Waterfront Terminal,City Hall Terminal,08:00:00,08:19:00,-1.562,19.0,7.179,17.179840000000016,330.5753599999991,3.482379161443098,City Hall Terminal,7.179,08:19:00
138879:303449,303449,MEMORIAL to County Park,3M,3175,City Hall Terminal,Waterfront Terminal,08:20:00,08:39:00,-1.743,19.0,7.26,16.361714285714303,420.8182857142844,3.856749311294766,Waterfront Terminal,7.26,08:39:00
138947:301416,301416,MEMORIAL to City Hall,3M,3126,Waterfront Terminal,City Hall Terminal,08:20:00,08:39:00,-1.562,19.0,7.179,17.179839999999984,330.5753599999974,3.482379161443098,City Hall Terminal,7.179,08:39:00
138907:299543,299543,MEMORIAL to Northwood,3M,3149,Waterfront Terminal,City Hall Terminal,08:40:00,08:59:00,-1.562,19.0,7.179,17.17984,330.57536000000306,3.482379161443098,City Hall Terminal,7.179,08:59:00
138934:303510,303510,MEMORIAL to Waterfront,3M,3179,City Hall Terminal,Waterfront Terminal,08:40:00,08:59:00,-1.743,19.0,7.26,16.36171428571429,420.81828571428287,3.856749311294766,Waterfront Terminal,7.26,08:59:00
138880:303019,303019,MEMORIAL to County Park,3M,3175,City Hall Terminal,Waterfront Terminal,09:00:00,09:19:00,-1.743,19.0,7.26,16.36171428571429,420.8182857142903,3.856749311294766,Waterfront Terminal,7.26,09:19:00
138941:300230,300230,MEMORIAL to City Hall,3M,3126,Waterfront Terminal,City Hall Terminal,09:00:00,09:19:00,-1.562,19.0,7.179,17.179840000000016,330.5753599999991,3.482379161443098,City Hall Terminal,7.179,09:19:00
138908:299638,299638,MEMORIAL to Northwood,3M,3149,Waterfront Terminal,City Hall Terminal,09:20:00,09:39:00,-1.562,19.0,7.179,17.179839999999984,330.5753599999974,3.482379161443098,City Hall Terminal,7.179,09:39:00
138940:303592,303592,MEMORIAL to Waterfront,3M,3179,City Hall Terminal,Waterfront Terminal,09:20:00,09:39:00,-1.743,19.0,7.26,16.361714285714303,420.8182857142844,3.856749311294766,Waterfront Terminal,7.26,09:39:00
138881:303392,303392,MEMORIAL to County Park,3M,3175,City Hall Terminal,Waterfront Terminal,09:40:00,09:59:00,-1.743,19.0,7.26,16.36171428571429,420.81828571428287,3.856749311294766,Waterfront Terminal,7.26,09:59:00
138944:300066,300066,MEMORIAL to City Hall,3M,3126,Waterfront Terminal,City Hall Terminal,09:40:00,09:59:00,-1.562,19.0,7.179,17.17984,330.57536000000306,3.482379161443098,City Hall Terminal,7.179,09:59:00
138909:301396,301396,MEMORIAL to Northwood,3M,3149,Waterfront Terminal,City Hall Terminal,10:00:00,10:19:00,-1.562,19.0,7.179,17.179840000000016,330.5753599999991,3.482379161443098,City Hall Terminal,7.179,10:19:00
138937:303242,303242,MEMORIAL to Waterfront,3M,3179,City Hall Terminal,Waterfront Terminal,10:00:00,10:19:00,-1.743,19.0,7.26,16.36171428571429,420.8182857142903,3.856749311294766,Waterfront Terminal,7.26,10:19:00
138882:303460,303460,MEMORIAL to County Park,3M,3175,City Hall Terminal,Waterfront Terminal,10:20:00,10:39:00,-1.743,19.0,7.26,16.361714285714303,420.8182857142844,3.856749311294766,Waterfront Terminal,7.26,10:39:00
138942:299500,299500,MEMORIAL to City Hall,3M,3126,Waterfront Terminal,City Hall Terminal,10:20:00,10:39:00,-1.562,19.0,7.179,17.179839999999984,330.5753599999974,3.482379161443098,City Hall Terminal,7.179,10:39:00
138910:300806,300806,MEMORIAL to Northwood,3M,3149,Waterfront Terminal,City Hall Terminal,10:40:00,10:59:00,-1.562,19.0,7.179,17.17984,330.57536000000306,3.482379161443098,City Hall Terminal,7.179,10:59:00
138938:303420,303420,MEMORIAL to Waterfront,3M,3179,City Hall Terminal,Waterfront Terminal,10:40:00,10:59:00,-1.743,19.0,7.26,16.36171428571429,420.81828571428287,3.856749311294766,Waterfront Terminal,7.26,10:59:00
138883:303595,303595,MEMORIAL to County Park,3M,3175,City Hall Terminal,Waterfront Terminal,11:00:00,11:19:00,-1.743,19.0,7.26,16.36171428571429,420.8182857142903,3.856749311294766,Waterfront Terminal,7.26,11:19:00
138945:299206,299206,MEMORIAL to City Hall,3M,3126,Waterfront Terminal,City Hall Terminal,11:00:00,11:19:00,-1.562,19.0,7.179,17.179840000000016,330.5753599999991,3.482379161443098,City Hall Terminal,7.179,11:19:00
138911:300158,300158,MEMORIAL to Northwood,3M,3149,Waterfront Terminal,City Hall Terminal,11:20:00,11:39:00,-1.562,19.0,7.179,17.179839999999984,330.5753599999974,3.482379161443098,City Hall Terminal,7.179,11:39:00
138936:303042,303042,MEMORIAL to Waterfront,3M,3179,City Hall Terminal,Waterfront Terminal,11:20:00,11:39:00,-1.743,19.0,7.26,16.361714285714303,420.8182857142844,3.856749311294766,Waterfront Terminal,7.26,11:39:00
138884:304141,304141,MEMORIAL to County Park,3M,3175,City Hall Terminal,Waterfront Terminal,11:43:00,12:04:00,-1.743,21.0,7.26,15.829714285714315,463.1588571428579,3.856749311294766,Waterfront Terminal,7.26,12:04:00
138943:299517,299517,MEMORIAL to City Hall,3M,3126,Waterfront Terminal,City Hall Terminal,11:43:00,12:05:00,-1.562,22.0,7.179,15.607451428571386,399.8183444897924,3.482379161443098,City Hall Terminal,7.179,12:05:00
138939:304156,304156,MEMORIAL to Waterfront,3M,3179,City Hall Terminal,Waterfront Terminal,12:05:00,12:26:00,-1.743,21.0,7.26,15.829714285714308,463.1588571428552,3.856749311294766,Waterfront Terminal,7.26,12:26:00
138912:300674,300674,MEMORIAL to Northwood,3M,3149,Waterfront Terminal,City Hall Terminal,12:05:00,12:27:00,-1.562,22.0,7.179,15.607451428571435,399.81834448979566,3.482379161443098,City Hall Terminal,7.179,12:27:00
138885:304015,304015,MEMORIAL to County Park,3M,3175,City Hall Terminal,Waterfront Terminal,12:28:00,12:49:00,-1.743,21.0,7.26,15.829714285714315,463.1588571428579,3.856749311294766,Waterfront Terminal,7.26,12:49:00
138946:300907,300907,MEMORIAL to City Hall,3M,3126,Waterfront Terminal,City Hall Terminal,12:28:00,12:50:00,-1.562,22.0,7.179,15.607451428571386,399.8183444897924,3.482379161443098,City Hall Terminal,7.179,12:50:00
138935:304030,304030,MEMORIAL to Waterfront,3M,3179,City Hall Terminal,Waterfront Terminal,12:50:00,13:11:00,-1.743,21.0,7.26,15.829714285714308,463.1588571428552,3.856749311294766,Waterfront Terminal,7.26,13:11:00
138913:301230,301230,MEMORIAL to Northwood,3M,3149,Waterfront Terminal,City Hall Terminal,12:50:00,13:12:00,-1.562,22.0,7.179,15.607451428571435,399.81834448979566,3.482379161443098,City Hall Terminal,7.179,13:12:00
138886:303944,303944,MEMORIAL to County Park,3M,3175,City Hall Terminal,Waterfront Terminal,13:13:00,13:34:00,-1.743,21.0,7.26,15.829714285714315,463.1588571428579,3.856749311294766,Waterfront Terminal,7.26,13:34:00
138914:300141,300141,MEMORIAL to City Hall,3M,3126,Waterfront Terminal,City Hall Terminal,13:13:00,13:35:00,-1.562,22.0,7.179,15.607451428571386,399.8183444897924,3.482379161443098,City Hall Terminal,7.179,13:35:00
138915:301453,301453,MEMORIAL to Northwood,3M,3149,Waterfront Terminal,City Hall Terminal,13:35:00,13:57:00,-1.562,22.0,7.179,15.607451428571435,399.81834448979566,3.482379161443098,City Hall Terminal,7.179,13:57:00
138887:304130,304130,MEMORIAL to Waterfront,3M,3179,City Hall Terminal,Waterfront Terminal,13:36:00,13:57:00,-1.743,21.0,7.26,15.829714285714273,463.15885714285935,3.856749311294766,Waterfront Terminal,7.26,13:57:00
138888:304249,304249,MEMORIAL to County Park,3M,3175,City Hall Terminal,Waterfront Terminal,13:58:00,14:19:00,-1.743,21.0,7.26,15.829714285714315,463.1588571428579,3.856749311294766,Waterfront Terminal,7.26,14:19:00
138916:300359,300359,MEMORIAL to City Hall,3M,3126,Waterfront Terminal,City Hall Terminal,13:58:00,14:20:00,-1.562,22.0,7.179,15.607451428571386,399.8183444897924,3.482379161443098,City Hall Terminal,7.179,14:20:00
138917:300363,300363,MEMORIAL to Northwood,3M,3149,Waterfront Terminal,City Hall Terminal,14:20:00,14:42:00,-1.562,22.0,7.179,15.607451428571435,399.81834448979566,3.482379161443098,City Hall Terminal,7.179,14:42:00
138889:304082,304082,MEMORIAL to Waterfront,3M,3179,City Hall Terminal,Waterfront Terminal,14:21:00,14:42:00,-1.743,21.0,7.26,15.829714285714273,463.15885714285935,3.856749311294766,Waterfront Terminal,7.26,14:42:00
138890:303881,303881,MEMORIAL to County Park,3M,3175,City Hall Terminal,Waterfront Terminal,14:43:00,15:04:00,-1.743,21.0,7.26,15.829714285714315,463.1588571428579,3.856749311294766,Waterfront Terminal,7.26,15:04:00
138918:301519,301519,MEMORIAL to City Hall,3M,3126,Waterfront Terminal,City Hall Terminal,14:43:00,15:05:00,-1.562,22.0,7.179,15.607451428571386,399.8183444897924,3.482379161443098,City Hall Terminal,7.179,15:05:00
