trip_id,service_id,trip_headsign,route_id,shape_id,origin,destination,start_time,end_time,road_grade,total_time,total_distance,avg_speed,avg_acceleration,stop_density,has_station,dist_to_station,time_at_station
138708:305667,305667,JAMES to College,8,3211,City Hall Terminal,Confederation College,08:20:00,08:40:00,-3.694,20.0,8.556,17.2657644110276,454.0002386919664,4.4413277232351565,-,0.0,-
138706:305643,305643,JAMES to City Hall,8,3204,Confederation College,City Hall Terminal,08:40:00,09:00:00,-3.604,20.0,9.095,19.25146031746033,671.6334149659853,3.958218801539307,City Hall Terminal,9.095,09:00:00
138727:305079,305079,JAMES to College,8,3211,City Hall Terminal,Confederation College,09:00:00,09:20:00,-3.694,20.0,8.556,17.26576441102755,454.0002386919685,4.4413277232351565,-,0.0,-
138710:305548,305548,JAMES to City Hall,8,3204,Confederation College,City Hall Terminal,09:20:00,09:40:00,-3.604,20.0,9.095,19.2514603174603,671.6334149659854,3.958218801539307,City Hall Terminal,9.095,09:40:00
138709:305561,305561,JAMES to Intercity,8,3258,City Hall Terminal,Intercity Shopping Centre,09:40:00,10:20:00,-4.531,40.0,14.13,17.199639335023953,395.96453510610985,3.6801132342533616,-,0.0,-
138725:305602,305602,JAMES to City Hall,8,3204,Confederation College,City Hall Terminal,10:00:00,10:20:00,-3.604,20.0,9.095,19.251460317460303,671.6334149659866,3.958218801539307,City Hall Terminal,9.095,10:20:00
138717:305714,305714,JAMES to City Hall via College,8,3259,Intercity Shopping Centre,City Hall Terminal,10:20:00,10:57:00,-4.254,37.0,15.589,18.85989010989012,444.4930612244896,3.3356854192058503,City Hall Terminal,15.589,10:57:00
138693:305978,305978,JAMES to Intercity,8,3258,City Hall Terminal,Intercity Shopping Centre,10:20:00,11:00:00,-4.531,40.0,14.13,17.199639335023964,395.9645351061073,3.6801132342533616,-,0.0,-
138694:305430,305430,JAMES to Intercity,8,3258,City Hall Terminal,Intercity Shopping Centre,11:00:00,11:40:00,-4.531,40.0,14.13,17.19963933502394,395.96453510610615,3.6801132342533616,-,0.0,-
138700:305326,305326,JAMES to City Hall via College,8,3259,Intercity Shopping Centre,City Hall Terminal,11:00:00,11:42:00,-4.254,42.0,15.589,18.552789518174105,446.1722341225989,3.3356854192058503,City Hall Terminal,15.589,11:42:00
138711:305197,305197,JAMES to Intercity,8,3258,City Hall Terminal,Intercity Shopping Centre,11:43:00,12:25:00,-4.531,42.0,14.13,16.263419554804184,375.6933523987088,3.6801132342533616,-,0.0,-
138718:304688,304688,JAMES to City Hall via College,8,3259,Intercity Shopping Centre,City Hall Terminal,11:45:00,12:27:00,-4.254,42.0,15.589,18.552789518174105,446.1722341225989,3.3356854192058503,City Hall Terminal,15.589,12:27:00
138695:305888,305888,JAMES to Intercity,8,3258,City Hall Terminal,Intercity Shopping Centre,12:28:00,13:10:00,-4.531,42.0,14.13,16.263419554804184,375.6933523987088,3.6801132342533616,-,0.0,-
138701:305116,305116,JAMES to City Hall via College,8,3259,Intercity Shopping Centre,City Hall Terminal,12:30:00,13:12:00,-4.254,42.0,15.589,18.552789518174105,446.1722341225989,3.3356854192058503,City Hall Terminal,15.589,13:12:00
138712:305439,305439,JAMES to Intercity,8,3258,City Hall Terminal,Intercity Shopping Centre,13:13:00,13:55:00,-4.531,42.0,14.13,16.263419554804184,375.6933523987088,3.6801132342533616,-,0.0,-
138719:305005,305005,JAMES to City Hall via College,8,3259,Intercity Shopping Centre,City Hall Terminal,13:15:00,13:57:00,-4.254,42.0,15.589,18.552789518174105,446.1722341225989,3.3356854192058503,City Hall Terminal,15.589,13:57:00
138696:305090,305090,JAMES to Intercity,8,3258,City Hall Terminal,Intercity Shopping Centre,13:58:00,14:40:00,-4.531,42.0,14.13,16.263419554804184,375.6933523987088,3.6801132342533616,-,0.0,-
138702:305884,305884,JAMES to City Hall via College,8,3259,Intercity Shopping Centre,City Hall Terminal,14:00:00,14:42:00,-4.254,42.0,15.589,18.285009298393867,470.70193246820793,3.3356854192058503,City Hall Terminal,15.589,14:42:00
138713:305476,305476,JAMES to Intercity,8,3258,City Hall Terminal,Intercity Shopping Centre,14:43:00,15:25:00,-4.531,42.0,14.13,16.263419554804184,375.6933523987088,3.6801132342533616,-,0.0,-
138720:304874,304874,JAMES to City Hall via College,8,3259,Intercity Shopping Centre,City Hall Terminal,14:45:00,15:27:00,-4.254,42.0,15.589,18.285009298393867,470.70193246820793,3.3356854192058503,City Hall Terminal,15.589,15:27:00
138697:305209,305209,JAMES to Intercity,8,3258,City Hall Terminal,Intercity Shopping Centre,15:28:00,16:10:00,-4.531,42.0,14.13,16.2634195548042,375.693352398709,3.6801132342533616,-,0.0,-
138692:305942,305942,JAMES to City Hall via College,8,3259,Intercity Shopping Centre,City Hall Terminal,15:30:00,16:12:00,-4.254,42.0,15.589,18.28500929839392,470.701932468205,3.3356854192058503,City Hall Terminal,15.589,16:12:00
138714:305202,305202,JAMES to Intercity,8,3258,City Hall Terminal,Intercity Shopping Centre,16:13:00,16:55:00,-4.531,42.0,14.13,16.2634195548042,375.69335239870674,3.6801132342533616,-,0.0,-
138703:304755,304755,JAMES to City Hall via College,8,3259,Intercity Shopping Centre,City Hall Terminal,16:15:00,16:57:00,-4.254,42.0,15.589,18.28500929839402,470.7019324682079,3.3356854192058503,City Hall Terminal,15.589,16:57:00
138698:305148,305148,JAMES to Intercity,8,3258,City Hall Terminal,Intercity Shopping Centre,16:58:00,17:38:00,-4.531,40.0,14.13,16.909573400957928,369.1702754756221,3.6801132342533616,-,0.0,-
138704:304708,304708,JAMES to City Hall via College,8,3259,Intercity Shopping Centre,City Hall Terminal,16:58:00,17:40:00,-4.254,42.0,15.589,18.285009298393888,470.7019324682015,3.3356854192058503,City Hall Terminal,15.589,17:40:00
138723:305137,305137,JAMES to College,8,3211,City Hall Terminal,Confederation College,17:41:00,18:01:00,-3.694,20.0,8.556,17.265764411027583,454.0002386919679,4.4413277232351565,-,0.0,-
138705:305575,305575,JAMES to City Hall via College,8,3259,Intercity Shopping Centre,City Hall Terminal,17:41:00,18:23:00,-4.254,42.0,15.589,18.28500929839396,470.701932468213,3.3356854192058503,City Hall Terminal,15.589,18:23:00
138726:305613,305613,JAMES to College,8,3211,City Hall Terminal,Confederation College,18:25:00,18:45:00,-3.694,20.0,8.556,17.265764411027554,454.0002386919697,4.4413277232351565,-,0.0,-
138731:305374,305374,JAMES to City Hall,8,3204,Confederation College,City Hall Terminal,18:45:00,19:05:00,-3.604,20.0,9.095,19.25146031746034,671.6334149659883,3.958218801539307,City Hall Terminal,9.095,19:05:00
138728:306061,306061,JAMES to College,8,3211,City Hall Terminal,Confederation College,19:10:00,19:30:00,-3.694,20.0,8.556,17.265764411027554,454.0002386919697,4.4413277232351565,-,0.0,-
138722:305850,305850,JAMES to City Hall,8,3204,Confederation College,City Hall Terminal,19:30:00,19:50:00,-3.604,20.0,9.095,19.25146031746034,671.6334149659883,3.958218801539307,City Hall Terminal,9.095,19:50:00
138729:305082,305082,JAMES to College,8,3211,City Hall Terminal,Confederation College,19:55:00,20:15:00,-3.694,20.0,8.556,17.265764411027554,454.0002386919697,4.4413277232351565,-,0.0,-
138724:305271,305271,JAMES to City Hall,8,3204,Confederation College,City Hall Terminal,20:15:00,20:35:00,-3.604,20.0,9.095,19.25146031746034,671.6334149659883,3.958218801539307,City Hall Terminal,9.095,20:35:00
138715:305456,305456,JAMES to College,8,3211,City Hall Terminal,Confederation College,20:40:00,21:00:00,-3.694,20.0,8.556,17.265764411027554,454.0002386919697,4.4413277232351565,-,0.0,-
138730:304927,304927,JAMES to City Hall,8,3204,Confederation College,City Hall Terminal,21:00:00,21:20:00,-3.604,20.0,9.095,19.25146031746034,671.6334149659883,3.958218801539307,City Hall Terminal,9.095,21:20:00
138699:305479,305479,JAMES to College,8,3211,City Hall Terminal,Confederation College,21:25:00,21:45:00,-3.694,20.0,8.556,17.265764411027554,454.0002386919697,4.4413277232351565,-,0.0,-
138707:305733,305733,JAMES to City Hall,8,3204,Confederation College,City Hall Terminal,21:45:00,22:05:00,-3.604,20.0,9.095,19.25146031746034,671.6334149659883,3.958218801539307,City Hall Terminal,9.095,22:05:00
138716:306063,306063,JAMES to College,8,3211,City Hall Terminal,Confederation College,22:10:00,22:30:00,-3.694,20.0,8.556,17.265764411027554,454.0002386919697,4.4413277232351565,-,0.0,-
138721:305297,305297,JAMES to City Hall,8,3204,Confederation College,City Hall Terminal,22:30:00,22:50:00,-3.604,20.0,9.095,19.25146031746034,671.6334149659883,3.958218801539307,City Hall Terminal,9.095,22:50:00
