trip_id,service_id,trip_headsign,route_id,shape_id,origin,destination,start_time,end_time,road_grade,total_time,total_distance,avg_speed,avg_acceleration,stop_density,has_station,dist_to_station,time_at_station
134316:305795,305795,JUMBO GARDENS to Airport,3J,3303,Sherwood & Valley,Waterfront Terminal,10:07:00,10:25:00,-2.061,18.0,6.687,16.73257142857143,561.7515102040765,3.738597278301181,Waterfront Terminal,6.687,10:25:00
134333:305093,305093,JUMBO GARDENS to Sherwood Dr.,3J,3309,Waterfront Terminal,Sherwood & Valley,10:15:00,10:36:00,-2.204,21.0,8.972,18.0920336134454,387.9414165666257,3.789567543468569,-,0.0,-
134317:304758,304758,JUMBO GARDENS to Airport,3J,3303,Sherwood & Valley,Waterfront Terminal,10:37:00,10:55:00,-2.061,18.0,6.687,16.73257142857143,561.7515102040765,3.738597278301181,Waterfront Terminal,6.687,10:55:00
134334:305631,305631,JUMBO GARDENS to Sherwood Dr.,3J,3309,Waterfront Terminal,Sherwood & Valley,10:45:00,11:06:00,-2.204,21.0,8.972,18.0920336134454,387.9414165666257,3.789567543468569,-,0.0,-
134318:305815,305815,JUMBO GARDENS to Airport,3J,3303,Sherwood & Valley,Waterfront Terminal,11:07:00,11:25:00,-2.061,18.0,6.687,16.73257142857143,561.7515102040765,3.738597278301181,Waterfront Terminal,6.687,11:25:00
134335:305985,305985,JUMBO GARDENS to Sherwood Dr.,3J,3309,Waterfront Terminal,Sherwood & Valley,11:15:00,11:36:00,-2.204,21.0,8.972,18.0920336134454,387.9414165666257,3.789567543468569,-,0.0,-
134319:305797,305797,JUMBO GARDENS to Airport,3J,3303,Sherwood & Valley,Waterfront Terminal,11:37:00,11:55:00,-2.061,18.0,6.687,16.73257142857143,561.7515102040765,3.738597278301181,Waterfront Terminal,6.687,11:55:00
134336:305122,305122,JUMBO GARDENS to Sherwood Dr.,3J,3309,Waterfront Terminal,Sherwood & Valley,11:45:00,12:06:00,-2.204,21.0,8.972,18.0920336134454,387.9414165666257,3.789567543468569,-,0.0,-
134320:304929,304929,JUMBO GARDENS to Airport,3J,3303,Sherwood & Valley,Waterfront Terminal,12:07:00,12:25:00,-2.061,18.0,6.687,16.73257142857143,561.7515102040765,3.738597278301181,Waterfront Terminal,6.687,12:25:00
134337:305366,305366,JUMBO GARDENS to Sherwood Dr.,3J,3309,Waterfront Terminal,Sherwood & Valley,12:15:00,12:36:00,-2.204,21.0,8.972,18.0920336134454,387.9414165666257,3.789567543468569,-,0.0,-
134321:304768,304768,JUMBO GARDENS to Airport,3J,3303,Sherwood & Valley,Waterfront Terminal,12:37:00,12:55:00,-2.061,18.0,6.687,16.73257142857143,561.7515102040765,3.738597278301181,Waterfront Terminal,6.687,12:55:00
134338:305992,305992,JUMBO GARDENS to Sherwood Dr.,3J,3309,Waterfront Terminal,Sherwood & Valley,12:45:00,13:06:00,-2.204,21.0,8.972,18.0920336134454,387.9414165666257,3.789567543468569,-,0.0,-
134322:305406,305406,JUMBO GARDENS to Airport,3J,3303,Sherwood & Valley,Waterfront Terminal,13:07:00,13:25:00,-2.061,18.0,6.687,16.73257142857143,561.7515102040765,3.738597278301181,Waterfront Terminal,6.687,13:25:00
134339:304944,304944,JUMBO GARDENS to Sherwood Dr.,3J,3309,Waterfront Terminal,Sherwood & Valley,13:15:00,13:36:00,-2.204,21.0,8.972,18.0920336134454,387.9414165666257,3.789567543468569,-,0.0,-
134323:305160,305160,JUMBO GARDENS to Airport,3J,3303,Sherwood & Valley,Waterfront Terminal,13:37:00,13:55:00,-2.061,18.0,6.687,16.73257142857143,561.7515102040765,3.738597278301181,Waterfront Terminal,6.687,13:55:00
134340:305109,305109,JUMBO GARDENS to Sherwood Dr.,3J,3309,Waterfront Terminal,Sherwood & Valley,13:45:00,14:06:00,-2.204,21.0,8.972,18.0920336134454,387.9414165666257,3.789567543468569,-,0.0,-
134324:305811,305811,JUMBO GARDENS to Airport,3J,3303,Sherwood & Valley,Waterfront Terminal,14:07:00,14:25:00,-2.061,18.0,6.687,16.73257142857143,561.7515102040765,3.738597278301181,Waterfront Terminal,6.687,14:25:00
134341:305274,305274,JUMBO GARDENS to Sherwood Dr.,3J,3309,Waterfront Terminal,Sherwood & Valley,14:15:00,14:36:00,-2.204,21.0,8.972,18.0920336134454,387.9414165666257,3.789567543468569,-,0.0,-
