trip_id,service_id,trip_headsign,route_id,shape_id,origin,destination,start_time,end_time,road_grade,total_time,total_distance,avg_speed,avg_acceleration,stop_density,has_station,dist_to_station,time_at_station
135674:299591,299591,MAINLINE to Westfort,1,3132,Waterfront Terminal,Mary & Neebing,06:10:00,06:52:00,-1.063,42.0,15.084,16.069523809523808,393.52123356009,3.977724741447892,City Hall Terminal,7.832,06:30:00
135605:303515,303515,MAINLINE to Westfort,1,3130,Cowan & Hodder,Mary & Neebing,06:12:00,07:22:00,-0.681,70.0,23.021,15.920429801777171,400.9533686021426,4.12666695625733,Waterfront Terminal,7.937,06:30:00
135677:300693,300693,MAINLINE to Current River,1,3293,Waterfront Terminal,Cowan & Hodder,06:25:00,06:42:00,-1.791,17.0,7.006,17.086814814814815,478.70577777777794,3.8538395660862115,-,0.0,-
135554:303930,303930,MAINLINE to Current River,1,3234,City Hall Terminal,Cowan & Hodder,06:25:00,07:05:00,-0.974,40.0,14.397,17.00414016172507,464.48947554871023,3.681322497742585,Waterfront Terminal,7.391,06:45:00
135647:304267,304267,MAINLINE to Current River,1,3274,Mary & Neebing,Cowan & Hodder,06:27:00,07:37:00,-0.676,70.0,21.149,14.726771988795509,379.4681614512462,4.0191025580405695,City Hall Terminal,6.752,06:45:00
135606:303481,303481,MAINLINE to Westfort,1,3130,Cowan & Hodder,Mary & Neebing,06:42:00,07:52:00,-0.681,70.0,23.021,15.920429801777171,400.9533686021426,4.12666695625733,Waterfront Terminal,7.937,07:00:00
135648:302904,302904,MAINLINE to Current River,1,3274,Mary & Neebing,Cowan & Hodder,06:52:00,08:07:00,-0.676,75.0,21.149,13.518301400560214,300.9213379218348,4.0191025580405695,City Hall Terminal,6.752,07:15:00
135607:301606,301606,MAINLINE to Westfort,1,3130,Cowan & Hodder,Mary & Neebing,07:07:00,08:22:00,-0.681,75.0,23.021,14.537572658920007,361.9170807396295,4.12666695625733,Waterfront Terminal,7.937,07:30:00
135649:303527,303527,MAINLINE to Current River,1,3274,Mary & Neebing,Cowan & Hodder,07:22:00,08:37:00,-0.676,75.0,21.149,13.518301400560231,300.9213379218346,4.0191025580405695,City Hall Terminal,6.752,07:45:00
135608:300153,300153,MAINLINE to Westfort,1,3130,Cowan & Hodder,Mary & Neebing,07:37:00,08:52:00,-0.681,75.0,23.021,14.53757265892,361.91708073962906,4.12666695625733,Waterfront Terminal,7.937,08:00:00
135650:302962,302962,MAINLINE to Current River,1,3274,Mary & Neebing,Cowan & Hodder,07:52:00,09:07:00,-0.676,75.0,21.149,13.518301400560238,300.9213379218337,4.0191025580405695,City Hall Terminal,6.752,08:15:00
135609:299367,299367,MAINLINE to Westfort,1,3130,Cowan & Hodder,Mary & Neebing,08:07:00,09:22:00,-0.681,75.0,23.021,14.53757265892,361.9170807396281,4.12666695625733,Waterfront Terminal,7.937,08:30:00
135651:303160,303160,MAINLINE to Current River,1,3274,Mary & Neebing,Cowan & Hodder,08:22:00,09:37:00,-0.676,75.0,21.149,13.518301400560244,300.9213379218332,4.0191025580405695,City Hall Terminal,6.752,08:45:00
135610:301429,301429,MAINLINE to Westfort,1,3130,Cowan & Hodder,Mary & Neebing,08:37:00,09:52:00,-0.681,75.0,23.021,14.53757265892,361.9170807396281,4.12666695625733,Waterfront Terminal,7.937,09:00:00
135652:303336,303336,MAINLINE to Current River,1,3274,Mary & Neebing,Cowan & Hodder,08:52:00,10:07:00,-0.676,75.0,21.149,13.518301400560244,300.9213379218332,4.0191025580405695,City Hall Terminal,6.752,09:15:00
135611:299494,299494,MAINLINE to Westfort,1,3130,Cowan & Hodder,Mary & Neebing,09:07:00,10:22:00,-0.681,75.0,23.021,14.53757265892,361.9170807396281,4.12666695625733,Waterfront Terminal,7.937,09:30:00
135653:303505,303505,MAINLINE to Current River,1,3274,Mary & Neebing,Cowan & Hodder,09:22:00,10:37:00,-0.676,75.0,21.149,13.518301400560244,300.9213379218332,4.0191025580405695,City Hall Terminal,6.752,09:45:00
135612:299930,299930,MAINLINE to Westfort,1,3130,Cowan & Hodder,Mary & Neebing,09:37:00,10:52:00,-0.681,75.0,23.021,14.53757265892,361.9170807396281,4.12666695625733,Waterfront Terminal,7.937,10:00:00
135654:303468,303468,MAINLINE to Current River,1,3274,Mary & Neebing,Cowan & Hodder,09:52:00,11:07:00,-0.676,75.0,21.149,13.518301400560244,300.9213379218332,4.0191025580405695,City Hall Terminal,6.752,10:15:00
135058:301775,301775,MAINLINE to Westfort,1,3130,Cowan & Hodder,Mary & Neebing,10:07:00,11:22:00,-0.681,75.0,23.021,14.53757265892,361.9170807396281,4.12666695625733,Waterfront Terminal,7.937,10:30:00
135074:303110,303110,MAINLINE to Current River,1,3274,Mary & Neebing,Cowan & Hodder,10:22:00,11:37:00,-0.676,75.0,21.149,13.518301400560244,300.9213379218332,4.0191025580405695,City Hall Terminal,6.752,10:45:00
135059:300984,300984,MAINLINE to Westfort,1,3130,Cowan & Hodder,Mary & Neebing,10:37:00,11:52:00,-0.681,75.0,23.021,14.53757265892,361.9170807396281,4.12666695625733,Waterfront Terminal,7.937,11:00:00
135075:303061,303061,MAINLINE to Current River,1,3274,Mary & Neebing,Cowan & Hodder,10:52:00,12:07:00,-0.676,75.0,21.149,13.518301400560244,300.9213379218332,4.0191025580405695,City Hall Terminal,6.752,11:15:00
135060:300065,300065,MAINLINE to Westfort,1,3130,Cowan & Hodder,Mary & Neebing,11:07:00,12:22:00,-0.681,75.0,23.021,14.53757265892,361.9170807396281,4.12666695625733,Waterfront Terminal,7.937,11:30:00
