trip_id,service_id,trip_headsign,route_id,shape_id,origin,destination,start_time,end_time,road_grade,total_time,total_distance,avg_speed,avg_acceleration,stop_density,has_station,dist_to_station,time_at_station
135670:301733,301733,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,06:05:00,06:21:00,-2.979,16.0,7.169,17.055771428571425,396.97371428571546,4.882131399079369,-,0.0,-
135539:303445,303445,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,06:24:00,06:40:00,-3.24,16.0,7.985,18.361548387096764,496.5739354838698,3.8822792736380713,Waterfront Terminal,7.985,06:40:00
135678:301497,301497,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,06:30:00,06:48:00,-2.979,18.0,7.169,15.988342857142856,458.9622857142856,4.882131399079369,-,0.0,-
135540:303287,303287,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,06:53:00,07:09:00,-3.24,16.0,7.985,18.36154838709677,496.5739354838692,3.8822792736380713,Waterfront Terminal,7.985,07:09:00
135688:300783,300783,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,07:00:00,07:18:00,-2.979,18.0,7.169,15.988342857142856,458.9622857142856,4.882131399079369,-,0.0,-
135541:303397,303397,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,07:23:00,07:39:00,-3.24,16.0,7.985,18.36154838709677,496.5739354838692,3.8822792736380713,Waterfront Terminal,7.985,07:39:00
135697:300016,300016,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,07:30:00,07:50:00,-2.979,20.0,7.169,14.872914285714296,399.4239999999991,4.882131399079369,-,0.0,-
135542:299214,299214,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,07:51:00,08:10:00,-3.24,19.0,7.985,17.078230414746535,389.71668729427375,3.8822792736380713,Waterfront Terminal,7.985,08:10:00
135706:300669,300669,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,08:00:00,08:20:00,-2.979,20.0,7.169,14.872914285714293,399.4240000000003,4.882131399079369,-,0.0,-
135543:299322,299322,COUNTY PARK to Northwood,3C,3271,Castlegreen & Superiorview,Waterfront Terminal,08:21:00,08:40:00,-3.24,19.0,7.985,17.078230414746514,389.7166872942724,3.8822792736380713,Waterfront Terminal,7.985,08:40:00
