trip_id,service_id,trip_headsign,route_id,shape_id,origin,destination,start_time,end_time,road_grade,total_time,total_distance,avg_speed,avg_acceleration,stop_density,has_station,dist_to_station,time_at_station
135675:301280,301280,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,06:20:00,06:39:00,-2.204,19.0,8.616,19.54278571428571,589.407755102041,3.714020427112349,-,0.0,-
135655:299648,299648,JUMBO GARDENS to Airport,3J,3300,Sherwood & Valley,Waterfront Terminal,06:40:00,06:55:00,-2.061,15.0,5.541,15.11714285714287,435.4938775510194,3.970402454430608,Waterfront Terminal,5.541,06:55:00
135685:300721,300721,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,06:45:00,07:04:00,-2.204,19.0,8.616,19.54278571428572,589.4077551020397,3.714020427112349,-,0.0,-
135656:303583,303583,JUMBO GARDENS to Airport,3J,3286,Sherwood & Valley,Waterfront Terminal,07:07:00,07:25:00,-2.061,18.0,6.602,16.407619047619036,542.6448979591854,3.6352620418055133,Waterfront Terminal,6.602,07:25:00
135694:300026,300026,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,07:15:00,07:34:00,-2.204,19.0,8.616,19.54278571428572,589.4077551020397,3.714020427112349,-,0.0,-
135657:303501,303501,JUMBO GARDENS to Airport,3J,3286,Sherwood & Valley,Waterfront Terminal,07:37:00,07:55:00,-2.061,18.0,6.602,16.407619047619036,542.6448979591854,3.6352620418055133,Waterfront Terminal,6.602,07:55:00
135703:301660,301660,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,07:45:00,08:06:00,-2.204,21.0,8.616,18.32278571428572,524.2877551020403,3.714020427112349,-,0.0,-
135658:303571,303571,JUMBO GARDENS to Airport,3J,3286,Sherwood & Valley,Waterfront Terminal,08:07:00,08:25:00,-2.061,18.0,6.602,16.407619047619054,542.6448979591777,3.6352620418055133,Waterfront Terminal,6.602,08:25:00
135711:301480,301480,JUMBO GARDENS to Sherwood Dr.,3J,3287,Waterfront Terminal,Sherwood & Valley,08:15:00,08:36:00,-2.204,21.0,8.616,18.32278571428573,524.2877551020396,3.714020427112349,-,0.0,-
135659:303318,303318,JUMBO GARDENS to Airport,3J,3286,Sherwood & Valley,Waterfront Terminal,08:37:00,08:55:00,-2.061,18.0,6.602,16.407619047619054,542.6448979591777,3.6352620418055133,Waterfront Terminal,6.602,08:55:00
