trip_id,service_id,trip_headsign,route_id,shape_id,origin,destination,start_time,end_time,road_grade,total_time,total_distance,avg_speed,avg_acceleration,stop_density,has_station,dist_to_station,time_at_station
135548:300726,300726,MEMORIAL to County Park,3M,3175,City Hall Terminal,Waterfront Terminal,06:10:00,06:29:00,-1.743,19.0,7.26,17.08685714285714,427.3645714285728,3.856749311294766,Waterfront Terminal,7.26,06:29:00
135672:300617,300617,MEMORIAL to Airport,3M,3276,Waterfront Terminal,City Hall Terminal,06:10:00,06:29:00,-1.562,19.0,7.179,17.17984000000001,330.57536000000056,3.482379161443098,City Hall Terminal,7.179,06:29:00
135553:301373,301373,MEMORIAL to Jumbo Gardens,3M,3296,City Hall Terminal,Waterfront Terminal,06:25:00,06:44:00,-1.743,19.0,7.26,17.08685714285714,427.3645714285728,3.856749311294766,Waterfront Terminal,7.26,06:44:00
135676:300162,300162,MEMORIAL to Northwood,3M,3149,Waterfront Terminal,City Hall Terminal,06:25:00,06:44:00,-1.562,19.0,7.179,17.17984000000001,330.57536000000056,3.482379161443098,City Hall Terminal,7.179,06:44:00
135559:299410,299410,MEMORIAL to Jumbo Gardens,3M,3281,City Hall Terminal,Waterfront Terminal,06:45:00,07:14:00,-1.743,29.0,8.491,13.818049261083749,266.3142237860674,3.415380991638205,Waterfront Terminal,8.491,07:14:00
135684:300583,300583,MEMORIAL to Northwood,3M,3278,Waterfront Terminal,City Hall Terminal,06:45:00,07:14:00,-1.562,29.0,7.828,13.095253333333323,195.80785777777743,3.193663771078181,City Hall Terminal,7.828,07:14:00
135564:301619,301619,MEMORIAL to County Park,3M,3279,City Hall Terminal,Waterfront Terminal,07:00:00,07:29:00,-1.743,29.0,8.491,13.818049261083749,266.3142237860674,3.415380991638205,Waterfront Terminal,8.491,07:29:00
135687:299217,299217,MEMORIAL to Airport,3M,3277,Waterfront Terminal,City Hall Terminal,07:00:00,07:29:00,-1.562,29.0,7.828,13.095253333333323,195.80785777777743,3.193663771078181,City Hall Terminal,7.828,07:29:00
135566:299932,299932,MEMORIAL to Jumbo Gardens,3M,3281,City Hall Terminal,Waterfront Terminal,07:15:00,07:44:00,-1.743,29.0,8.491,13.818049261083749,266.3142237860674,3.415380991638205,Waterfront Terminal,8.491,07:44:00
135693:300847,300847,MEMORIAL to Northwood,3M,3278,Waterfront Terminal,City Hall Terminal,07:15:00,07:44:00,-1.562,29.0,7.828,13.095253333333323,195.80785777777743,3.193663771078181,City Hall Terminal,7.828,07:44:00
