trip_id,service_id,trip_headsign,route_id,shape_id,origin,destination,start_time,end_time,road_grade,total_time,total_distance,avg_speed,avg_acceleration,stop_density,has_station,dist_to_station,time_at_station
135548:305417,305417,MEMORIAL to County Park,3M,3310,City Hall Terminal,Waterfront Terminal,06:10:00,06:29:00,-1.743,19.0,7.345,17.21020689655172,455.88082758620817,3.948264125255276,Waterfront Terminal,7.345,06:29:00
135672:304891,304891,MEMORIAL to Airport,3M,3308,Waterfront Terminal,City Hall Terminal,06:10:00,06:29:00,-1.562,19.0,7.535,18.461333333333343,533.6675555555549,3.5832780358327803,City Hall Terminal,7.535,06:29:00
135553:306039,306039,MEMORIAL to Jumbo Gardens,3M,3319,City Hall Terminal,Waterfront Terminal,06:25:00,06:44:00,-1.743,19.0,7.345,17.21020689655172,455.88082758620817,3.948264125255276,Waterfront Terminal,7.345,06:44:00
135676:305743,305743,MEMORIAL to Northwood,3M,3317,Waterfront Terminal,City Hall Terminal,06:25:00,06:44:00,-1.562,19.0,7.535,18.461333333333343,533.6675555555549,3.5832780358327803,City Hall Terminal,7.535,06:44:00
135559:304924,304924,MEMORIAL to Jumbo Gardens,3M,3314,City Hall Terminal,Waterfront Terminal,06:45:00,07:14:00,-1.743,29.0,8.576,14.04624761904762,299.2482829931979,3.498134328358209,Intercity Shopping Centre,2.596,06:55:00
135684:305981,305981,MEMORIAL to Northwood,3M,3322,Waterfront Terminal,City Hall Terminal,06:45:00,07:14:00,-1.562,29.0,8.184,14.679308641975298,408.8828312757197,3.2991202346041053,Intercity Shopping Centre,5.619,07:05:00
135564:305717,305717,MEMORIAL to County Park,3M,3307,City Hall Terminal,Waterfront Terminal,07:00:00,07:29:00,-1.743,29.0,8.576,14.04624761904762,299.2482829931979,3.498134328358209,Intercity Shopping Centre,2.596,07:10:00
135687:304894,304894,MEMORIAL to Airport,3M,3321,Waterfront Terminal,City Hall Terminal,07:00:00,07:29:00,-1.562,29.0,8.184,14.679308641975298,408.8828312757197,3.2991202346041053,Intercity Shopping Centre,5.619,07:20:00
135566:305775,305775,MEMORIAL to Jumbo Gardens,3M,3314,City Hall Terminal,Waterfront Terminal,07:15:00,07:44:00,-1.743,29.0,8.576,14.04624761904762,299.2482829931979,3.498134328358209,Intercity Shopping Centre,2.596,07:25:00
135693:305696,305696,MEMORIAL to Northwood,3M,3322,Waterfront Terminal,City Hall Terminal,07:15:00,07:44:00,-1.562,29.0,8.184,14.679308641975298,408.8828312757197,3.2991202346041053,Intercity Shopping Centre,5.619,07:35:00
135571:305222,305222,MEMORIAL to County Park,3M,3307,City Hall Terminal,Waterfront Terminal,07:30:00,07:59:00,-1.743,29.0,8.576,14.04624761904762,299.2482829931979,3.498134328358209,Intercity Shopping Centre,2.596,07:40:00
135696:305370,305370,MEMORIAL to Airport,3M,3321,Waterfront Terminal,City Hall Terminal,07:30:00,07:59:00,-1.562,29.0,8.184,14.679308641975298,408.8828312757197,3.2991202346041053,Intercity Shopping Centre,5.619,07:50:00
135573:305708,305708,MEMORIAL to Jumbo Gardens,3M,3314,City Hall Terminal,Waterfront Terminal,07:45:00,08:14:00,-1.743,29.0,8.576,14.04624761904764,299.24828299319444,3.498134328358209,Intercity Shopping Centre,2.596,07:55:00
135702:305324,305324,MEMORIAL to Northwood,3M,3322,Waterfront Terminal,City Hall Terminal,07:45:00,08:14:00,-1.562,29.0,8.184,14.679308641975313,408.8828312757198,3.2991202346041053,Intercity Shopping Centre,5.619,08:05:00
135578:305215,305215,MEMORIAL to County Park,3M,3307,City Hall Terminal,Waterfront Terminal,08:00:00,08:29:00,-1.743,29.0,8.576,14.046247619047652,299.2482829931964,3.498134328358209,Intercity Shopping Centre,2.596,08:10:00
135705:305612,305612,MEMORIAL to Airport,3M,3321,Waterfront Terminal,City Hall Terminal,08:00:00,08:29:00,-1.562,29.0,8.184,14.679308641975316,408.8828312757213,3.2991202346041053,Intercity Shopping Centre,5.619,08:20:00
135580:306021,306021,MEMORIAL to Jumbo Gardens,3M,3314,City Hall Terminal,Waterfront Terminal,08:15:00,08:44:00,-1.743,29.0,8.576,14.046247619047652,299.2482829931964,3.498134328358209,Intercity Shopping Centre,2.596,08:25:00
135710:305488,305488,MEMORIAL to Northwood,3M,3322,Waterfront Terminal,City Hall Terminal,08:15:00,08:44:00,-1.562,29.0,8.184,14.679308641975316,408.8828312757213,3.2991202346041053,Intercity Shopping Centre,5.619,08:35:00
135585:305957,305957,MEMORIAL to County Park,3M,3307,City Hall Terminal,Waterfront Terminal,08:30:00,08:59:00,-1.743,29.0,8.576,14.046247619047652,299.2482829931964,3.498134328358209,Intercity Shopping Centre,2.596,08:40:00
135714:306040,306040,MEMORIAL to Airport,3M,3321,Waterfront Terminal,City Hall Terminal,08:30:00,08:59:00,-1.562,29.0,8.184,14.679308641975316,408.8828312757213,3.2991202346041053,Intercity Shopping Centre,5.619,08:50:00
135587:305813,305813,MEMORIAL to Jumbo Gardens,3M,3314,City Hall Terminal,Waterfront Terminal,08:45:00,09:14:00,-1.743,29.0,8.576,14.046247619047652,299.2482829931964,3.498134328358209,Intercity Shopping Centre,2.596,08:55:00
