trip_id,service_id,trip_headsign,route_id,shape_id,origin,destination,start_time,end_time,road_grade,total_time,total_distance,avg_speed,avg_acceleration,stop_density,has_station,dist_to_station,time_at_station
135668:304152,304152,HUDSON to Shuniah St.,7,3252,Waterfront Terminal,Shuniah & Erie,06:00:00,06:16:00,-3.904,16.0,7.655,21.308285714285716,751.7759999999997,3.6577400391900716,-,0.0,-
135662:299693,299693,HUDSON to Waterfront,7,3172,Shuniah & Erie,Waterfront Terminal,06:16:00,06:28:00,-3.839,12.0,5.412,17.946666666666665,530.4133333333349,4.434589800443459,Waterfront Terminal,5.412,06:28:00
135680:304458,304458,HUDSON to Shuniah St.,7,3252,Waterfront Terminal,Shuniah & Erie,06:30:00,06:46:00,-3.904,16.0,7.655,21.308285714285716,751.7759999999997,3.6577400391900716,-,0.0,-
135663:301601,301601,HUDSON to Waterfront,7,3172,Shuniah & Erie,Waterfront Terminal,06:46:00,06:58:00,-3.839,12.0,5.412,17.946666666666665,530.4133333333349,4.434589800443459,Waterfront Terminal,5.412,06:58:00
135691:304068,304068,HUDSON to Shuniah St.,7,3252,Waterfront Terminal,Shuniah & Erie,07:00:00,07:16:00,-3.904,16.0,7.655,21.308285714285716,751.7759999999997,3.6577400391900716,-,0.0,-
135664:300562,300562,HUDSON to Waterfront,7,3172,Shuniah & Erie,Waterfront Terminal,07:16:00,07:28:00,-3.839,12.0,5.412,17.946666666666665,530.4133333333349,4.434589800443459,Waterfront Terminal,5.412,07:28:00
135700:304079,304079,HUDSON to Shuniah St.,7,3252,Waterfront Terminal,Shuniah & Erie,07:30:00,07:46:00,-3.904,16.0,7.655,21.308285714285716,751.7759999999997,3.6577400391900716,-,0.0,-
135665:299535,299535,HUDSON to Waterfront,7,3172,Shuniah & Erie,Waterfront Terminal,07:46:00,07:58:00,-3.839,12.0,5.412,17.946666666666665,530.4133333333349,4.434589800443459,Waterfront Terminal,5.412,07:58:00
137412:304277,304277,HUDSON to Shuniah St.,7,3252,Waterfront Terminal,Shuniah & Erie,08:00:00,08:16:00,-3.904,16.0,7.655,21.308285714285685,751.7760000000033,3.6577400391900716,-,0.0,-
137414:300705,300705,HUDSON to Waterfront,7,3172,Shuniah & Erie,Waterfront Terminal,08:16:00,08:28:00,-3.839,12.0,5.412,17.94666666666669,530.4133333333336,4.434589800443459,Waterfront Terminal,5.412,08:28:00
