trip_id,service_id,trip_headsign,route_id,shape_id,origin,destination,start_time,end_time,road_grade,total_time,total_distance,avg_speed,avg_acceleration,stop_density,has_station,dist_to_station,time_at_station
134287:304666,304666,EDWARD to Waterfront,5,3119,Brown & Frederica,Confederation College,06:00:00,06:09:00,-2.562,9.0,5.031,20.6084,549.5455999999992,3.975352812562115,-,0.0,-
135668:304152,304152,HUDSON to Shuniah St.,7,3252,Waterfront Terminal,Shuniah & Erie,06:00:00,06:16:00,-3.904,16.0,7.655,21.308285714285716,751.7759999999997,3.6577400391900716,-,0.0,-
134550:305385,305385,JOHN-JUMBO to County Fair,13,3265,Waterfront Terminal,Dawson & Regina,06:00:00,06:18:00,-2.797,18.0,10.018,21.42791836734695,427.31941690962,3.4937113196246754,-,0.0,-
133771:305646,305646,MEMORIAL to Waterfront,3M,3304,City Hall Terminal,Waterfront Terminal,06:00:00,06:19:00,-1.743,19.0,7.345,17.210206896551732,455.8808275862066,3.948264125255276,Waterfront Terminal,7.345,06:19:00
133821:305447,305447,MEMORIAL to Northwood,3M,3317,Waterfront Terminal,City Hall Terminal,06:00:00,06:19:00,-1.562,19.0,7.535,18.46133333333333,533.6675555555554,3.5832780358327803,City Hall Terminal,7.535,06:19:00
133965:304752,304752,JUNOT to University,9,3312,Waterfront Terminal,Lakehead University,06:00:00,06:20:00,-2.701,20.0,9.397,20.293241379310352,641.7522758620682,3.086091305735873,-,0.0,-
133907:303499,303499,CROSSTOWN to Westfort,2,3113,Waterfront Terminal,Confederation College,06:00:00,06:24:00,-2.081,24.0,10.321,20.33925,715.393428571428,3.100474760197655,-,0.0,-
134167:300604,300604,MAINLINE to Westfort,1,3132,Waterfront Terminal,Mary & Neebing,06:00:00,06:40:00,-1.063,40.0,15.084,16.659085714285702,402.4388281179137,3.977724741447892,City Hall Terminal,7.832,06:20:00
135671:304011,304011,JOHN to Windsor St.,11,3283,Waterfront Terminal,Windsor & Junot,06:05:00,06:18:00,-3.3,13.0,5.041,17.802545454545456,663.7701818181835,4.364213449712358,-,0.0,-
134079:304183,304183,HUDSON to Shuniah St.,7,3252,Waterfront Terminal,Shuniah & Erie,06:05:00,06:21:00,-3.904,16.0,7.655,21.308285714285716,751.7760000000007,3.6577400391900716,-,0.0,-
135670:301733,301733,COUNTY PARK to Castlegreen Dr,3C,3168,Waterfront Terminal,Castlegreen & Superiorview,06:05:00,06:21:00,-2.979,16.0,7.169,17.055771428571425,396.97371428571546,4.882131399079369,-,0.0,-
135670:304873,304873,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,06:05:00,06:21:00,-2.979,16.0,7.525,17.31870270270269,375.4291891891896,4.916943521594684,-,0.0,-
134197:305557,305557,COUNTY PARK to Castlegreen Dr,3C,3320,Waterfront Terminal,Castlegreen & Superiorview,06:05:00,06:22:00,-2.979,17.0,7.525,16.159783783783777,271.818378378378,4.916943521594684,-,0.0,-
135547:300795,300795,ARTHUR to Airport,14,3145,City Hall Terminal,Thunder Bay Airport,06:10:00,06:27:00,-2.134,17.0,10.228,22.242580645161283,420.9238709677418,3.0308955807587017,-,0.0,-
135548:300726,300726,MEMORIAL to County Park,3M,3175,City Hall Terminal,Waterfront Terminal,06:10:00,06:29:00,-1.743,19.0,7.26,17.08685714285714,427.3645714285728,3.856749311294766,Waterfront Terminal,7.26,06:29:00
135548:305417,305417,MEMORIAL to County Park,3M,3310,City Hall Terminal,Waterfront Terminal,06:10:00,06:29:00,-1.743,19.0,7.345,17.21020689655172,455.88082758620817,3.948264125255276,Waterfront Terminal,7.345,06:29:00
135672:300617,300617,MEMORIAL to Airport,3M,3276,Waterfront Terminal,City Hall Terminal,06:10:00,06:29:00,-1.562,19.0,7.179,17.17984000000001,330.57536000000056,3.482379161443098,City Hall Terminal,7.179,06:29:00
135672:304891,304891,MEMORIAL to Airport,3M,3308,Waterfront Terminal,City Hall Terminal,06:10:00,06:29:00,-1.562,19.0,7.535,18.461333333333343,533.6675555555549,3.5832780358327803,City Hall Terminal,7.535,06:29:00
133878:299800,299800,CROSSTOWN to Waterfront,2,3128,Confederation College,Waterfront Terminal,06:10:00,06:39:00,-1.839,29.0,12.789,21.08982239382241,631.3603530060672,2.893111267495504,Waterfront Terminal,12.789,06:39:00
135673:303276,303276,JUNOT to Intercity,9,3260,Waterfront Terminal,Intercity Shopping Centre,06:10:00,06:39:00,-2.448,29.0,14.313,22.297605442176867,631.2157667638462,2.934395304967512,-,0.0,-
