route_id,trip_id,trip_headsign,origin,destination,start_time,end_time,fuel_consumed,co2_emission,fuel_cost,total_time,total_distance,maintenance_cost,operation_cost,trip_type,energy_rate,energy_consumed,initial_soc,soc_before_charge,final_soc,charge_time,energy_charged,energy_cost
3M,135548:300726,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,06:10:00,06:29:00,1.7733333333333332,4.163786666666666,2.8373333333333335,19.0,7.26,3.8115,26.916666666666664,service,0,0,0,0,0,0,0,0
3M,135684:300583,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,06:45:00,07:14:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135566:299932,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,07:15:00,07:44:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135702:301139,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,07:45:00,08:14:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135580:300712,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,08:15:00,08:44:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135719:299729,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,08:45:00,09:14:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135594:300374,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,09:15:00,09:44:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135618:299265,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,09:45:00,10:14:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135348:301540,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,10:15:00,10:44:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135381:300701,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,10:45:00,11:14:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135352:300200,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,11:15:00,11:44:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135385:299631,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,11:45:00,12:14:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135356:301333,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,12:15:00,12:44:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135389:299288,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,12:45:00,13:14:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135360:301628,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,13:15:00,13:44:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135393:299908,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,13:45:00,14:14:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135364:299339,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,14:15:00,14:44:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135397:299999,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,14:45:00,15:14:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135368:301419,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,15:15:00,15:44:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135401:301065,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,15:45:00,16:14:00,2.7066666666666666,6.355253333333333,4.330666666666667,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
