route_id,trip_id,trip_headsign,origin,destination,start_time,end_time,fuel_consumed,co2_emission,fuel_cost,total_time,total_distance,maintenance_cost,operation_cost,trip_type,energy_rate,energy_consumed,initial_soc,soc_before_charge,final_soc,charge_time,energy_charged,energy_cost
3M,135672:300617,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,06:10:00,06:29:00,1.7733333333333332,4.163786666666666,3.5466666666666664,19.0,7.179,3.768975,26.916666666666664,service,0,0,0,0,0,0,0,0
3M,135559:299410,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,06:45:00,07:14:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135693:300847,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,07:15:00,07:44:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135573:299783,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,07:45:00,08:14:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135710:300327,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,08:15:00,08:44:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135587:299674,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,08:45:00,09:14:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135728:301656,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,09:15:00,09:44:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135601:301583,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,09:45:00,10:14:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135379:301248,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,10:15:00,10:44:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135350:301637,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,10:45:00,11:14:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135383:301008,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,11:15:00,11:44:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135354:299965,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,11:45:00,12:14:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135387:299785,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,12:15:00,12:44:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135358:299381,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,12:45:00,13:14:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135391:299115,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,13:15:00,13:44:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135362:301738,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,13:45:00,14:14:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135395:299987,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,14:15:00,14:44:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135366:299278,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,14:45:00,15:14:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135399:299883,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,15:15:00,15:44:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135370:301494,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,15:45:00,16:14:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135403:301752,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,16:15:00,16:44:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135374:299897,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,16:45:00,17:14:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135407:301378,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,17:15:00,17:39:00,2.2399999999999998,5.259519999999999,4.4799999999999995,24.0,7.828,4.1097,34.0,service,0,0,0,0,0,0,0,0
3M,135377:299399,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,17:40:00,18:02:00,2.0533333333333332,4.821226666666666,4.1066666666666665,22.0,7.26,3.8115,31.166666666666664,service,0,0,0,0,0,0,0,0
3M,135419:301045,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,18:03:00,18:24:00,1.9599999999999997,4.602079999999999,3.9199999999999995,21.0,7.179,3.768975,29.749999999999996,service,0,0,0,0,0,0,0,0
3M,135425:300369,MEMORIAL to Waterfront,City Hall Terminal,Waterfront Terminal,18:48:00,19:08:00,1.8666666666666665,4.382933333333333,3.733333333333333,20.0,7.26,3.8115,28.333333333333332,service,0,0,0,0,0,0,0,0
3M,135428:300264,MEMORIAL to City Hall,Waterfront Terminal,City Hall Terminal,19:10:00,19:29:00,1.7733333333333332,4.163786666666666,3.5466666666666664,19.0,7.179,3.768975,26.916666666666664,service,0,0,0,0,0,0,0,0
