trip_id,co2_emission
135552:303006,3.106734258363076
135626:304538,4.308519751810894
135576:304128,3.01454574609182
135632:303958,3.8518826796236736
135597:304272,2.6264552114703776
135177:304439,3.447919442086614
135162:304275,2.2831315560513374
135180:304305,3.090554026046724
135165:303874,1.9794108469511564
135183:304437,2.7744112964260688
135168:304385,1.9688261833797853
135186:303965,2.7629031309442156
135171:304237,1.7013888425341939
135189:304184,2.484527740645996
135174:304345,1.464800837252847
135192:304501,2.238263407842537
135199:304191,2.2868428507043164
135201:304527,2.2608049964400814
135194:303916,2.131204150783647
135202:304042,2.1010237036640844
135198:304384,1.9863603846930282
135200:304398,1.9523246705296529
135195:304114,1.8515628273630864
135203:304182,1.8139392433563157
135197:303985,1.7261146844947857
135193:304100,1.6851520814610923
135196:304211,1.6093674906967113
135204:304462,1.565297459425991
