trip_id,co2_emission
135548:300726,5.260791015759999
135684:300583,5.595028198233916
135566:299932,5.588980997415296
135702:301139,5.101573444872133
135580:300712,5.077348555441964
135719:299729,4.6524646005135475
135594:300374,4.61169561931037
135618:299265,4.243716376472778
135348:301540,4.187890091866364
135381:300701,3.871701634934793
135352:300200,3.8021712202444857
135385:299631,3.533119202567403
135356:301333,3.4511162238112196
135389:299288,3.224964576667685
135360:301628,3.131609921196154
135393:299908,2.94450326389539
135364:299339,2.840817086888339
135397:299999,2.689246515007393
135368:301419,2.5761572920965947
135401:301065,2.4569292402687912
135372:300404,2.3352820066173634
135405:300414,2.2454899095670835
135376:301129,2.1160537585173658
135409:299212,2.053052258867681
135423:303465,1.6380629098284853
135416:299896,1.738194442445706
135411:300610,1.597265788733421
135413:299445,1.6032301989932185
135421:301152,1.4663014929156466
135410:300060,1.4790263429018315
135418:300812,1.3457786778739962
135420:300124,1.3647249733438966
135415:301795,1.2348648684661605
135417:299291,1.2595365879429907
135412:299827,1.1327939608698976
135414:299198,1.1627346295233976
135422:303096,0.9539230255910072
