trip_id,co2_emission
135562:302968,3.9189907868246157
135628:304280,5.137548223614265
135583:304187,3.7821884676213444
135634:304311,4.702139836374888
135604:304094,3.4067955052981658
135178:303990,4.306309938972709
135163:304106,3.0655256489593796
135181:304491,3.946460858731451
135166:304281,3.0133784826323122
135184:304229,3.586063746403871
135169:304239,2.7213831614621413
135187:304559,3.583092162518496
135172:303959,2.4424387850820146
135190:303871,3.288961651386534
135175:303970,2.188850367588445
