trip_id,energy_consumed
135670:301733,0
135539:303445,0
135688:300783,0
135541:303397,0
135706:300669,0
135543:299322,0
135723:299646,0
135545:301063,0
135000:300554,0
134984:303230,0
135002:301579,0
134986:299618,0
135004:301119,0
134988:301076,0
135006:301430,0
134990:299921,0
135008:300982,0
134992:299767,0
135010:300366,0
134994:299267,0
135012:300646,0
134996:300138,0
135014:299816,0
134998:300470,0
135016:304460,0
135018:301051,0
135019:303894,0
135017:303280,0
135021:304263,0
135029:303018,0
135024:304220,0
135026:303446,0
135025:304509,0
135022:303201,0
135027:303900,0
135028:303034,0
135023:303843,0
135020:303617,0
