trip_id,energy_consumed
139318:304363,0
139306:304088,0
139321:304057,0
139309:304400,0
139325:304176,0
139313:304301,0
139316:304164,0
139273:303891,0
139290:304072,0
139275:304097,0
139292:303957,0
139277:303849,0
139294:303945,0
139279:304396,0
139296:304435,0
139281:303860,0
139298:304534,0
139283:304087,0
139300:304044,0
139285:304521,0
139302:303920,0
139287:304241,0
139262:304317,0
139271:304405,0
139264:304558,0
139272:304429,0
139266:304382,0
139260:304061,0
139268:303852,0
