trip_id,energy_consumed
135672:300617,0
135559:299410,0
135693:300847,0
135573:299783,0
135710:300327,0
135587:299674,0
135728:301656,0
135601:301583,0
135379:301248,0
135350:301637,0
135383:301008,0
135354:299965,0
135387:299785,0
135358:299381,0
135391:299115,0
135362:301738,0
135395:299987,0
135366:299278,0
135399:299883,0
135370:301494,0
135403:301752,0
135374:299897,0
135407:301378,0
135377:299399,0
135419:301045,0
135425:300369,0
135428:300264,0
135426:299589,0
135429:299919,0
