route_id,trip_id,trip_headsign,origin,destination,start_time,end_time,energy_rate,energy_consumed,co2_emission,initial_soc,soc_before_charge,final_soc,charge_time,energy_charged,energy_cost,total_time,total_distance,trip_type,fuel_consumed,fuel_cost,maintenance_cost,operation_cost
3M,135548:300726,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,06:10:00,06:29:00,1.0249319118457298,7.441005679999998,5.260791015759999,90,-,86.61772469090909,-,-,-,19.0,7.26,service,0,0,0,0
3M,135684:300583,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,06:29:00,06:58:00,1.010955522198613,7.913759827770743,5.595028198233916,86.61772469090909,-,83.02056113283147,-,-,-,29.0,7.828,service,0,0,0,0
3M,135566:299932,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,06:58:00,07:27:00,0.9310100698043867,7.9052065027090475,5.588980997415296,83.02056113283147,-,79.4272854497819,-,-,-,29.0,8.491,service,0,0,0,0
3M,135702:301139,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,07:27:00,07:56:00,0.921794075608636,7.215804023864403,5.101573444872133,79.4272854497819,-,76.14737452984355,-,-,-,29.0,7.828,service,0,0,0,0
3M,135580:300712,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,07:56:00,08:25:00,0.8457825559273368,7.181539682379016,5.077348555441964,76.14737452984355,-,72.88303831058036,-,-,-,29.0,8.491,service,0,0,0,0
3M,135719:299729,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,08:25:00,08:54:00,0.8406454110825369,6.580572277954099,4.6524646005135475,72.88303831058036,-,69.8918690933285,-,-,-,29.0,7.828,service,0,0,0,0
3M,135594:300374,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,08:54:00,09:23:00,0.7682142885145501,6.522907523777045,4.61169561931037,69.8918690933285,-,66.92691112797529,-,-,-,29.0,8.491,service,0,0,0,0
3M,135618:299265,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,09:23:00,09:52:00,0.766789434018234,6.002427689494736,4.243716376472778,66.92691112797529,-,64.19853490547769,-,-,-,29.0,7.828,service,0,0,0,0
3M,135348:301540,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,09:52:00,10:21:00,0.6976169445852001,5.923465476472933,4.187890091866364,64.19853490547769,-,61.50605059798999,-,-,-,29.0,8.491,service,0,0,0,0
3M,135381:300701,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,10:21:00,10:50:00,0.6995707634464163,5.476239936258548,3.871701634934793,61.50605059798999,-,59.016850626963375,-,-,-,29.0,7.828,service,0,0,0,0
3M,135352:300200,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,10:50:00,11:19:00,0.6333640595316226,5.377894229483007,3.8021712202444857,59.016850626963375,-,56.57235324992565,-,-,-,29.0,8.491,service,0,0,0,0
3M,135385:299631,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,11:19:00,11:48:00,0.6383929163304185,4.997339749034516,3.533119202567403,56.57235324992565,-,54.30083518218269,-,-,-,29.0,7.828,service,0,0,0,0
3M,135356:301333,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,11:48:00,12:17:00,0.5748854680163421,4.881352508926761,3.4511162238112196,54.30083518218269,-,52.082038587215976,-,-,-,29.0,8.491,service,0,0,0,0
3M,135389:299288,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,12:17:00,12:46:00,0.5827130145128185,4.561477477606344,3.224964576667685,52.082038587215976,-,50.00863973375855,-,-,-,29.0,7.828,service,0,0,0,0
3M,135360:301628,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,12:46:00,13:15:00,0.5216622444558827,4.4294341176749,3.131609921196154,50.00863973375855,-,47.99526058936087,-,-,-,29.0,8.491,service,0,0,0,0
3M,135393:299908,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,13:15:00,13:44:00,0.5320369673394152,4.164785380332942,2.94450326389539,47.99526058936087,-,46.10217632557317,-,-,-,29.0,7.828,service,0,0,0,0
3M,135364:299339,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,13:44:00,14:13:00,0.473222098194384,4.018128835768514,2.840817086888339,46.10217632557317,-,44.27575412749657,-,-,-,29.0,8.491,service,0,0,0,0
3M,135397:299999,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,14:13:00,14:42:00,0.4859150872122979,3.8037433026978684,2.689246515007393,44.27575412749657,-,42.546779898997535,-,-,-,29.0,7.828,service,0,0,0,0
3M,135368:301419,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,14:42:00,15:11:00,0.42913518250484617,3.643786834648649,2.5761572920965947,42.546779898997535,-,40.89051315597542,-,-,-,29.0,8.491,service,0,0,0,0
3M,135401:301065,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,15:11:00,15:40:00,0.44393809916543586,3.475147440267032,2.4569292402687912,40.89051315597542,-,39.31090068312677,-,-,-,29.0,7.828,service,0,0,0,0
