route_id,trip_id,trip_headsign,origin,destination,start_time,end_time,fuel_consumed,co2_emission,fuel_cost,total_time,total_distance,maintenance_cost,operation_cost,trip_type,energy_rate,energy_consumed,initial_soc,soc_before_charge,final_soc,charge_time,energy_charged,energy_cost
3M,135553:301373,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,06:25:00,06:44:00,1.7733333333333332,4.163786666666666,3.5466666666666664,19.0,7.26,3.8115,26.916666666666664,service,0,0,0,0,0,0,0,0
3M,135687:299217,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,07:00:00,07:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135571:300291,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,07:30:00,07:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135705:300033,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,08:00:00,08:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135585:300370,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,08:30:00,08:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135722:301285,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,09:00:00,09:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135599:300987,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,09:30:00,09:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135378:300796,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,10:00:00,10:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135349:299606,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,10:30:00,10:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135382:300792,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,11:00:00,11:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135353:299884,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,11:30:00,11:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135386:300458,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,12:00:00,12:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135357:299306,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,12:30:00,12:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135390:300849,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,13:00:00,13:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135361:300855,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,13:30:00,13:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135394:301081,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,14:00:00,14:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135365:300329,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,14:30:00,14:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135398:301704,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,15:00:00,15:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135369:300595,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,15:30:00,15:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135402:301459,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,16:00:00,16:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135373:299224,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,16:30:00,16:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135406:299496,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,17:00:00,17:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135424:303663,MEMORIAL to Waterfront,City Hall Terminal,Waterfront Terminal,18:03:00,18:21:00,1.68,3.9446399999999997,3.36,18.0,7.26,3.8115,25.5,service,0,0,0,0,0,0,0,0
3M,135427:299498,MEMORIAL to City Hall,Waterfront Terminal,City Hall Terminal,18:25:00,18:44:00,1.7733333333333332,4.163786666666666,3.5466666666666664,19.0,7.179,3.768975,26.916666666666664,service,0,0,0,0,0,0,0,0
