route_id,trip_id,trip_headsign,origin,destination,start_time,end_time,fuel_consumed,co2_emission,fuel_cost,total_time,total_distance,maintenance_cost,operation_cost,trip_type,energy_rate,energy_consumed,initial_soc,soc_before_charge,final_soc,charge_time,energy_charged,energy_cost
3J,135685:300721,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,06:45:00,07:04:00,1.7733333333333332,4.163786666666666,3.5466666666666664,19.0,8.616,4.5234,26.916666666666664,service,0,0,0,0,0,0,0,0
3J,135656:303583,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,07:07:00,07:25:00,1.68,3.9446399999999997,3.36,18.0,6.602,3.4660500000000005,25.5,service,0,0,0,0,0,0,0,0
3J,135703:301660,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,07:45:00,08:06:00,1.9599999999999997,4.602079999999999,3.9199999999999995,21.0,8.616,4.5234,29.749999999999996,service,0,0,0,0,0,0,0,0
3J,135658:303571,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,08:07:00,08:25:00,1.68,3.9446399999999997,3.36,18.0,6.602,3.4660500000000005,25.5,service,0,0,0,0,0,0,0,0
3J,135720:299592,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,08:45:00,09:06:00,1.9599999999999997,4.602079999999999,3.9199999999999995,21.0,8.616,4.5234,29.749999999999996,service,0,0,0,0,0,0,0,0
3J,135660:303722,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,09:07:00,09:25:00,1.68,3.9446399999999997,3.36,18.0,6.602,3.4660500000000005,25.5,service,0,0,0,0,0,0,0,0
3J,135622:299917,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,09:45:00,10:06:00,1.9599999999999997,4.602079999999999,3.9199999999999995,21.0,8.616,4.5234,29.749999999999996,service,0,0,0,0,0,0,0,0
3J,134883:303725,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,10:07:00,10:25:00,1.68,3.9446399999999997,3.36,18.0,6.602,3.4660500000000005,25.5,service,0,0,0,0,0,0,0,0
3J,134900:299307,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,10:45:00,11:06:00,1.9599999999999997,4.602079999999999,3.9199999999999995,21.0,8.616,4.5234,29.749999999999996,service,0,0,0,0,0,0,0,0
3J,134885:303023,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,11:07:00,11:25:00,1.68,3.9446399999999997,3.36,18.0,6.602,3.4660500000000005,25.5,service,0,0,0,0,0,0,0,0
3J,134902:299650,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,11:45:00,12:06:00,1.9599999999999997,4.602079999999999,3.9199999999999995,21.0,8.616,4.5234,29.749999999999996,service,0,0,0,0,0,0,0,0
3J,134887:303427,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,12:07:00,12:25:00,1.68,3.9446399999999997,3.36,18.0,6.602,3.4660500000000005,25.5,service,0,0,0,0,0,0,0,0
3J,134904:300764,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,12:45:00,13:06:00,1.9599999999999997,4.602079999999999,3.9199999999999995,21.0,8.616,4.5234,29.749999999999996,service,0,0,0,0,0,0,0,0
3J,134889:303073,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,13:07:00,13:25:00,1.68,3.9446399999999997,3.36,18.0,6.602,3.4660500000000005,25.5,service,0,0,0,0,0,0,0,0
3J,134906:300657,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,13:45:00,14:06:00,1.9599999999999997,4.602079999999999,3.9199999999999995,21.0,8.616,4.5234,29.749999999999996,service,0,0,0,0,0,0,0,0
3J,134891:302988,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,14:07:00,14:25:00,1.68,3.9446399999999997,3.36,18.0,6.602,3.4660500000000005,25.5,service,0,0,0,0,0,0,0,0
3J,134908:300634,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,14:45:00,15:06:00,1.9599999999999997,4.602079999999999,3.9199999999999995,21.0,8.616,4.5234,29.749999999999996,service,0,0,0,0,0,0,0,0
3J,134893:303621,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,15:07:00,15:25:00,1.68,3.9446399999999997,3.36,18.0,6.602,3.4660500000000005,25.5,service,0,0,0,0,0,0,0,0
3J,134910:299352,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,15:45:00,16:06:00,1.9599999999999997,4.602079999999999,3.9199999999999995,21.0,8.616,4.5234,29.749999999999996,service,0,0,0,0,0,0,0,0
3J,134895:303561,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,16:07:00,16:25:00,1.68,3.9446399999999997,3.36,18.0,6.602,3.4660500000000005,25.5,service,0,0,0,0,0,0,0,0
3J,134912:301486,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,16:45:00,17:06:00,1.9599999999999997,4.602079999999999,3.9199999999999995,21.0,8.616,4.5234,29.749999999999996,service,0,0,0,0,0,0,0,0
3J,134897:303450,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,17:07:00,17:25:00,1.68,3.9446399999999997,3.36,18.0,6.602,3.4660500000000005,25.5,service,0,0,0,0,0,0,0,0
3J,134915:301282,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,17:45:00,18:06:00,1.9599999999999997,4.602079999999999,3.9199999999999995,21.0,8.616,4.5234,29.749999999999996,service,0,0,0,0,0,0,0,0
3J,134914:303054,JUMBO GARDENS to Waterfront,Sherwood & Valley,Waterfront Terminal,18:06:00,18:24:00,1.68,3.9446399999999997,3.36,18.0,6.602,3.4660500000000005,25.5,service,0,0,0,0,0,0,0,0
