route_id,trip_id,trip_headsign,origin,destination,start_time,end_time,fuel_consumed,co2_emission,fuel_cost,total_time,total_distance,maintenance_cost,operation_cost,trip_type,energy_rate,energy_consumed,initial_soc,soc_before_charge,final_soc,charge_time,energy_charged,energy_cost
3C,135678:301497,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,06:30:00,06:48:00,1.68,3.9446399999999997,2.688,18.0,7.169,3.763725,25.5,service,0,0,0,0,0,0,0,0
3C,135540:303287,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,06:53:00,07:09:00,1.4933333333333332,3.506346666666666,2.389333333333333,16.0,7.985,4.192125000000001,22.666666666666668,service,0,0,0,0,0,0,0,0
3C,135697:300016,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,07:30:00,07:50:00,1.8666666666666665,4.382933333333333,2.9866666666666664,20.0,7.169,3.763725,28.333333333333332,service,0,0,0,0,0,0,0,0
3C,135542:299214,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,07:51:00,08:10:00,1.7733333333333332,4.163786666666666,2.8373333333333335,19.0,7.985,4.192125000000001,26.916666666666664,service,0,0,0,0,0,0,0,0
3C,135715:301415,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,08:30:00,08:50:00,1.8666666666666665,4.382933333333333,2.9866666666666664,20.0,7.169,3.763725,28.333333333333332,service,0,0,0,0,0,0,0,0
3C,135544:301575,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,08:51:00,09:10:00,1.7733333333333332,4.163786666666666,2.8373333333333335,19.0,7.985,4.192125000000001,26.916666666666664,service,0,0,0,0,0,0,0,0
3C,135732:301070,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,09:30:00,09:50:00,1.8666666666666665,4.382933333333333,2.9866666666666664,20.0,7.169,3.763725,28.333333333333332,service,0,0,0,0,0,0,0,0
3C,135546:299462,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,09:51:00,10:10:00,1.7733333333333332,4.163786666666666,2.8373333333333335,19.0,7.985,4.192125000000001,26.916666666666664,service,0,0,0,0,0,0,0,0
3C,135001:301100,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,10:30:00,10:50:00,1.8666666666666665,4.382933333333333,2.9866666666666664,20.0,7.169,3.763725,28.333333333333332,service,0,0,0,0,0,0,0,0
3C,134985:300985,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,10:51:00,11:10:00,1.7733333333333332,4.163786666666666,2.8373333333333335,19.0,7.985,4.192125000000001,26.916666666666664,service,0,0,0,0,0,0,0,0
