,134506:304992,134507:305939,134508:304683,134509:305654,134510:304767,134511:305279,134512:305831,134513:304966,134514:304934,134515:306020,134516:305399,134517:304729,134518:305382,134519:305787,134520:304717,134521:304696,134522:305741,134523:305027,134524:304677,134525:304746,134526:304850,134527:305634,134528:304774
City Hall Terminal,6:20 AM,7:00 AM,7:40 AM,8:20 AM,9:00 AM,9:40 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:15 PM,2:45 PM,3:15 PM,3:45 PM,4:15 PM,4:45 PM,5:15 PM,5:45 PM,6:25 PM
Donald & Cent. Sq.,6:21 AM,7:01 AM,7:41 AM,8:21 AM,9:01 AM,9:41 AM,10:16 AM,10:46 AM,11:16 AM,11:46 AM,12:16 PM,12:46 PM,1:16 PM,1:46 PM,2:16 PM,2:46 PM,3:16 PM,3:46 PM,4:16 PM,4:46 PM,5:16 PM,5:46 PM,6:26 PM
Vickers & Victoria,6:22 AM,7:02 AM,7:42 AM,8:22 AM,9:02 AM,9:42 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:17 PM,2:47 PM,3:17 PM,3:47 PM,4:17 PM,4:47 PM,5:17 PM,5:47 PM,6:27 PM
Vickers & Cumming,6:23 AM,7:03 AM,7:43 AM,8:23 AM,9:03 AM,9:43 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:18 PM,2:48 PM,3:18 PM,3:48 PM,4:18 PM,4:48 PM,5:18 PM,5:48 PM,6:28 PM
Vickers & Cameron,6:23 AM,7:03 AM,7:43 AM,8:23 AM,9:03 AM,9:43 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:18 PM,2:48 PM,3:18 PM,3:48 PM,4:18 PM,4:48 PM,5:18 PM,5:48 PM,6:28 PM
Vickers & Dease,6:24 AM,7:04 AM,7:44 AM,8:24 AM,9:04 AM,9:44 AM,10:19 AM,10:49 AM,11:19 AM,11:49 AM,12:19 PM,12:49 PM,1:19 PM,1:49 PM,2:19 PM,2:49 PM,3:19 PM,3:49 PM,4:19 PM,4:49 PM,5:19 PM,5:49 PM,6:29 PM
Vickers & Weigand,6:24 AM,7:04 AM,7:44 AM,8:24 AM,9:04 AM,9:44 AM,10:19 AM,10:49 AM,11:19 AM,11:49 AM,12:19 PM,12:49 PM,1:19 PM,1:49 PM,2:19 PM,2:49 PM,3:19 PM,3:49 PM,4:19 PM,4:49 PM,5:19 PM,5:49 PM,6:29 PM
Northern & McKellar,6:25 AM,7:05 AM,7:45 AM,8:25 AM,9:05 AM,9:45 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM,1:50 PM,2:20 PM,2:50 PM,3:20 PM,3:50 PM,4:20 PM,4:50 PM,5:20 PM,5:50 PM,6:30 PM
Northern & Syndicate,6:25 AM,7:05 AM,7:45 AM,8:25 AM,9:05 AM,9:45 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM,1:50 PM,2:20 PM,2:50 PM,3:20 PM,3:50 PM,4:20 PM,4:50 PM,5:20 PM,5:50 PM,6:30 PM
Northern & May,6:26 AM,7:06 AM,7:46 AM,8:26 AM,9:06 AM,9:46 AM,10:21 AM,10:51 AM,11:21 AM,11:51 AM,12:21 PM,12:51 PM,1:21 PM,1:51 PM,2:21 PM,2:51 PM,3:21 PM,3:51 PM,4:21 PM,4:51 PM,5:21 PM,5:51 PM,6:31 PM
Pacific & Wiley,6:26 AM,7:06 AM,7:46 AM,8:26 AM,9:06 AM,9:46 AM,10:21 AM,10:51 AM,11:21 AM,11:51 AM,12:21 PM,12:51 PM,1:21 PM,1:51 PM,2:21 PM,2:51 PM,3:21 PM,3:51 PM,4:21 PM,4:51 PM,5:21 PM,5:51 PM,6:31 PM
