Waterfront Terminal,6:03 PM,6:43 PM,6:48 PM,7:28 PM,7:33 PM,8:13 PM,8:18 PM,8:58 PM,9:03 PM,9:41 PM,9:48 PM,10:26 PM,10:33 PM,11:11 PM
Camelot & Court,6:03 PM,6:43 PM,6:48 PM,7:28 PM,7:33 PM,8:13 PM,8:18 PM,8:58 PM,9:03 PM,9:41 PM,9:48 PM,10:26 PM,10:33 PM,11:11 PM
Court & Camelot,6:03 PM,6:43 PM,6:48 PM,7:28 PM,7:33 PM,8:13 PM,8:18 PM,8:58 PM,9:03 PM,9:41 PM,9:48 PM,10:26 PM,10:33 PM,11:11 PM
Court & Red River,6:04 PM,6:42 PM,6:49 PM,7:27 PM,7:34 PM,8:12 PM,8:19 PM,8:57 PM,9:04 PM,9:40 PM,9:49 PM,10:25 PM,10:34 PM,11:10 PM
Court & Lincoln,6:04 PM,6:42 PM,6:49 PM,7:27 PM,7:34 PM,8:12 PM,8:19 PM,8:57 PM,9:04 PM,9:40 PM,9:49 PM,10:25 PM,10:34 PM,11:10 PM
Pearl & Court,6:04 PM,6:42 PM,6:49 PM,7:27 PM,7:34 PM,8:12 PM,8:19 PM,8:57 PM,9:04 PM,9:40 PM,9:49 PM,10:25 PM,10:34 PM,11:10 PM
Pearl & Algoma,6:05 PM,6:41 PM,6:50 PM,7:26 PM,7:35 PM,8:11 PM,8:20 PM,8:56 PM,9:05 PM,9:39 PM,9:50 PM,10:24 PM,10:35 PM,11:09 PM
Algoma & Dufferin,6:05 PM,6:41 PM,6:50 PM,7:26 PM,7:35 PM,8:11 PM,8:20 PM,8:56 PM,9:05 PM,9:39 PM,9:50 PM,10:24 PM,10:35 PM,11:09 PM
Algoma & Bay,6:05 PM,6:41 PM,6:50 PM,7:26 PM,7:35 PM,8:11 PM,8:20 PM,8:56 PM,9:05 PM,9:39 PM,9:50 PM,10:24 PM,10:35 PM,11:09 PM
Algoma & Cornwall,6:06 PM,6:40 PM,6:51 PM,7:25 PM,7:36 PM,8:10 PM,8:21 PM,8:55 PM,9:06 PM,9:38 PM,9:51 PM,10:23 PM,10:36 PM,11:08 PM
Algoma & John,6:06 PM,6:40 PM,6:51 PM,7:25 PM,7:36 PM,8:10 PM,8:21 PM,8:55 PM,9:06 PM,9:38 PM,9:51 PM,10:23 PM,10:36 PM,11:08 PM
John & Secord,6:07 PM,6:39 PM,6:52 PM,7:24 PM,7:37 PM,8:09 PM,8:22 PM,8:54 PM,9:07 PM,9:37 PM,9:52 PM,10:22 PM,10:37 PM,11:07 PM
John & Banning,6:07 PM,6:39 PM,6:52 PM,7:24 PM,7:37 PM,8:09 PM,8:22 PM,8:54 PM,9:07 PM,9:37 PM,9:52 PM,10:22 PM,10:37 PM,11:07 PM
John & McKibbin,6:08 PM,6:38 PM,6:53 PM,7:23 PM,7:38 PM,8:08 PM,8:23 PM,8:53 PM,9:08 PM,9:36 PM,9:53 PM,10:21 PM,10:38 PM,11:06 PM
John & Marlborough,6:08 PM,6:38 PM,6:53 PM,7:23 PM,7:38 PM,8:08 PM,8:23 PM,8:53 PM,9:08 PM,9:36 PM,9:53 PM,10:21 PM,10:38 PM,11:06 PM
John & Rockwood,6:09 PM,6:37 PM,6:54 PM,7:22 PM,7:39 PM,8:07 PM,8:24 PM,8:52 PM,9:09 PM,9:35 PM,9:54 PM,10:20 PM,10:39 PM,11:05 PM
John & Kenogami,6:11 PM,6:35 PM,6:56 PM,7:20 PM,7:41 PM,8:05 PM,8:26 PM,8:50 PM,9:11 PM,9:33 PM,9:56 PM,10:18 PM,10:41 PM,11:03 PM
John & Alder,6:11 PM,6:35 PM,6:56 PM,7:20 PM,7:41 PM,8:05 PM,8:26 PM,8:50 PM,9:11 PM,9:33 PM,9:56 PM,10:18 PM,10:41 PM,11:03 PM
John & Anten,6:12 PM,6:34 PM,6:57 PM,7:19 PM,7:41 PM,8:05 PM,8:26 PM,8:50 PM,9:11 PM,9:33 PM,9:56 PM,10:18 PM,10:41 PM,11:03 PM
