,134550:305385,134537:305112,134551:305693,134538:305966,134552:305164,134539:305429,134553:305313,134540:304947,134554:305107,134541:305816,134555:306016,134542:305165,134556:305665,134543:304842,134557:304804,134544:305155,134558:305656,134545:305273,134559:304980,134546:305046,134560:305510,134547:305541,134561:305425,134548:305982,134562:304948,134549:304858
Waterfront Terminal,6:00 AM,6:36 AM,6:40 AM,7:16 AM,7:20 AM,7:56 AM,8:00 AM,8:40 AM,8:40 AM,9:20 AM,9:20 AM,10:00 AM,6:03 PM,6:43 PM,6:48 PM,7:28 PM,7:33 PM,8:13 PM,8:18 PM,8:58 PM,9:03 PM,9:41 PM,9:48 PM,10:26 PM,10:33 PM,11:11 PM
Camelot & Court,6:00 AM,6:36 AM,6:40 AM,7:16 AM,7:20 AM,7:56 AM,8:00 AM,8:40 AM,8:40 AM,9:20 AM,9:20 AM,10:00 AM,6:03 PM,6:43 PM,6:48 PM,7:28 PM,7:33 PM,8:13 PM,8:18 PM,8:58 PM,9:03 PM,9:41 PM,9:48 PM,10:26 PM,10:33 PM,11:11 PM
Court & Camelot,6:00 AM,6:36 AM,6:40 AM,7:16 AM,7:20 AM,7:56 AM,8:00 AM,8:40 AM,8:40 AM,9:20 AM,9:20 AM,10:00 AM,6:03 PM,6:43 PM,6:48 PM,7:28 PM,7:33 PM,8:13 PM,8:18 PM,8:58 PM,9:03 PM,9:41 PM,9:48 PM,10:26 PM,10:33 PM,11:11 PM
Court & Red River,6:01 AM,6:35 AM,6:41 AM,7:15 AM,7:21 AM,7:55 AM,8:01 AM,8:39 AM,8:41 AM,9:19 AM,9:21 AM,9:59 AM,6:04 PM,6:42 PM,6:49 PM,7:27 PM,7:34 PM,8:12 PM,8:19 PM,8:57 PM,9:04 PM,9:40 PM,9:49 PM,10:25 PM,10:34 PM,11:10 PM
Court & Lincoln,6:01 AM,6:35 AM,6:41 AM,7:15 AM,7:21 AM,7:55 AM,8:01 AM,8:39 AM,8:41 AM,9:19 AM,9:21 AM,9:59 AM,6:04 PM,6:42 PM,6:49 PM,7:27 PM,7:34 PM,8:12 PM,8:19 PM,8:57 PM,9:04 PM,9:40 PM,9:49 PM,10:25 PM,10:34 PM,11:10 PM
Pearl & Court,6:01 AM,6:35 AM,6:41 AM,7:15 AM,7:21 AM,7:55 AM,8:01 AM,8:39 AM,8:41 AM,9:19 AM,9:21 AM,9:59 AM,6:04 PM,6:42 PM,6:49 PM,7:27 PM,7:34 PM,8:12 PM,8:19 PM,8:57 PM,9:04 PM,9:40 PM,9:49 PM,10:25 PM,10:34 PM,11:10 PM
Pearl & Algoma,6:02 AM,6:34 AM,6:42 AM,7:14 AM,7:22 AM,7:54 AM,8:02 AM,8:38 AM,8:42 AM,9:18 AM,9:22 AM,9:58 AM,6:05 PM,6:41 PM,6:50 PM,7:26 PM,7:35 PM,8:11 PM,8:20 PM,8:56 PM,9:05 PM,9:39 PM,9:50 PM,10:24 PM,10:35 PM,11:09 PM
Algoma & Dufferin,6:02 AM,6:34 AM,6:42 AM,7:14 AM,7:22 AM,7:54 AM,8:02 AM,8:38 AM,8:42 AM,9:18 AM,9:22 AM,9:58 AM,6:05 PM,6:41 PM,6:50 PM,7:26 PM,7:35 PM,8:11 PM,8:20 PM,8:56 PM,9:05 PM,9:39 PM,9:50 PM,10:24 PM,10:35 PM,11:09 PM
Algoma & Bay,6:02 AM,6:34 AM,6:42 AM,7:14 AM,7:22 AM,7:54 AM,8:02 AM,8:38 AM,8:42 AM,9:18 AM,9:22 AM,9:58 AM,6:05 PM,6:41 PM,6:50 PM,7:26 PM,7:35 PM,8:11 PM,8:20 PM,8:56 PM,9:05 PM,9:39 PM,9:50 PM,10:24 PM,10:35 PM,11:09 PM
Algoma & Cornwall,6:03 AM,6:33 AM,6:43 AM,7:13 AM,7:23 AM,7:53 AM,8:03 AM,8:37 AM,8:43 AM,9:17 AM,9:23 AM,9:57 AM,6:06 PM,6:40 PM,6:51 PM,7:25 PM,7:36 PM,8:10 PM,8:21 PM,8:55 PM,9:06 PM,9:38 PM,9:51 PM,10:23 PM,10:36 PM,11:08 PM
