,135549:303139,135506:305774,135558:302940,135510:305687,135565:303497,135514:305720,135572:303612,135519:305260,135579:303467,135524:304692,135586:302908,135529:304699,135593:303339,135534:305000,135600:302976,137409:305321,134689:303333,134674:304836,134690:302928,134675:305799,134691:303136,134676:305147,134692:303649,134677:305671,134693:303655,134678:305118,134694:302916,134679:305502,134695:303386,134680:304945,134696:302954,134681:306047,134697:303630,134682:305228,134698:303334,134683:305485,134699:303564,134684:305143,134700:303513,134685:305460,134701:303095,134686:306076,134702:302977,134687:305745,134703:303149,134688:305524,134704:303088
City Hall Terminal,6:20 AM,6:39 AM,6:45 AM,7:14 AM,7:15 AM,7:44 AM,7:45 AM,8:14 AM,8:15 AM,8:44 AM,8:45 AM,9:14 AM,9:15 AM,9:44 AM,9:45 AM,10:14 AM,10:15 AM,10:44 AM,10:45 AM,11:14 AM,11:15 AM,11:44 AM,11:45 AM,12:14 PM,12:15 PM,12:44 PM,12:45 PM,1:14 PM,1:15 PM,1:44 PM,1:45 PM,2:14 PM,2:15 PM,2:44 PM,2:45 PM,3:14 PM,3:15 PM,3:44 PM,3:45 PM,4:14 PM,4:15 PM,4:44 PM,4:45 PM,5:14 PM,5:15 PM,5:44 PM,5:50 PM
May & George,6:20 AM,6:39 AM,6:45 AM,7:14 AM,7:15 AM,7:44 AM,7:45 AM,8:14 AM,8:15 AM,8:44 AM,8:45 AM,9:14 AM,9:15 AM,9:44 AM,9:45 AM,10:14 AM,10:15 AM,10:44 AM,10:45 AM,11:14 AM,11:15 AM,11:44 AM,11:45 AM,12:14 PM,12:15 PM,12:44 PM,12:45 PM,1:14 PM,1:15 PM,1:44 PM,1:45 PM,2:14 PM,2:15 PM,2:44 PM,2:45 PM,3:14 PM,3:15 PM,3:44 PM,3:45 PM,4:14 PM,4:15 PM,4:44 PM,4:45 PM,5:14 PM,5:15 PM,5:44 PM,5:50 PM
Miles & Courthouse,6:20 AM,6:39 AM,6:46 AM,7:13 AM,7:16 AM,7:43 AM,7:46 AM,8:13 AM,8:16 AM,8:43 AM,8:46 AM,9:13 AM,9:16 AM,9:43 AM,9:46 AM,10:13 AM,10:16 AM,10:43 AM,10:46 AM,11:13 AM,11:16 AM,11:43 AM,11:46 AM,12:13 PM,12:16 PM,12:43 PM,12:46 PM,1:13 PM,1:16 PM,1:43 PM,1:46 PM,2:13 PM,2:16 PM,2:43 PM,2:46 PM,3:13 PM,3:16 PM,3:43 PM,3:46 PM,4:13 PM,4:16 PM,4:43 PM,4:46 PM,5:13 PM,5:16 PM,5:43 PM,5:51 PM
Vickers & Cumming,6:21 AM,6:38 AM,6:48 AM,7:11 AM,7:18 AM,7:41 AM,7:48 AM,8:11 AM,8:18 AM,8:41 AM,8:48 AM,9:11 AM,9:18 AM,9:41 AM,9:48 AM,10:11 AM,10:18 AM,10:41 AM,10:48 AM,11:11 AM,11:18 AM,11:41 AM,11:48 AM,12:11 PM,12:18 PM,12:41 PM,12:48 PM,1:11 PM,1:18 PM,1:41 PM,1:48 PM,2:11 PM,2:18 PM,2:41 PM,2:48 PM,3:11 PM,3:18 PM,3:41 PM,3:48 PM,4:11 PM,4:18 PM,4:41 PM,4:48 PM,5:11 PM,5:18 PM,5:41 PM,5:53 PM
Vickers & Cameron,6:22 AM,6:37 AM,6:48 AM,7:11 AM,7:18 AM,7:41 AM,7:48 AM,8:11 AM,8:18 AM,8:41 AM,8:48 AM,9:11 AM,9:18 AM,9:41 AM,9:48 AM,10:11 AM,10:18 AM,10:41 AM,10:48 AM,11:11 AM,11:18 AM,11:41 AM,11:48 AM,12:11 PM,12:18 PM,12:41 PM,12:48 PM,1:11 PM,1:18 PM,1:41 PM,1:48 PM,2:11 PM,2:18 PM,2:41 PM,2:48 PM,3:11 PM,3:18 PM,3:41 PM,3:48 PM,4:11 PM,4:18 PM,4:41 PM,4:48 PM,5:11 PM,5:18 PM,5:41 PM,5:53 PM
Cameron & Harold,6:22 AM,6:37 AM,6:48 AM,7:11 AM,7:18 AM,7:41 AM,7:48 AM,8:11 AM,8:18 AM,8:41 AM,8:48 AM,9:11 AM,9:18 AM,9:41 AM,9:48 AM,10:11 AM,10:18 AM,10:41 AM,10:48 AM,11:11 AM,11:18 AM,11:41 AM,11:48 AM,12:11 PM,12:18 PM,12:41 PM,12:48 PM,1:11 PM,1:18 PM,1:41 PM,1:48 PM,2:11 PM,2:18 PM,2:41 PM,2:48 PM,3:11 PM,3:18 PM,3:41 PM,3:48 PM,4:11 PM,4:18 PM,4:41 PM,4:48 PM,5:11 PM,5:18 PM,5:41 PM,5:53 PM
Cameron & Norah,6:22 AM,6:37 AM,6:49 AM,7:10 AM,7:19 AM,7:40 AM,7:49 AM,8:10 AM,8:19 AM,8:40 AM,8:49 AM,9:10 AM,9:19 AM,9:40 AM,9:49 AM,10:10 AM,10:19 AM,10:40 AM,10:49 AM,11:10 AM,11:19 AM,11:40 AM,11:49 AM,12:10 PM,12:19 PM,12:40 PM,12:49 PM,1:10 PM,1:19 PM,1:40 PM,1:49 PM,2:10 PM,2:19 PM,2:40 PM,2:49 PM,3:10 PM,3:19 PM,3:40 PM,3:49 PM,4:10 PM,4:19 PM,4:40 PM,4:49 PM,5:10 PM,5:19 PM,5:40 PM,5:54 PM
Balmoral & Cameron,6:24 AM,6:35 AM,6:52 AM,7:07 AM,7:22 AM,7:37 AM,7:52 AM,8:07 AM,8:22 AM,8:37 AM,8:52 AM,9:07 AM,9:22 AM,9:37 AM,9:52 AM,10:07 AM,10:22 AM,10:37 AM,10:52 AM,11:07 AM,11:22 AM,11:37 AM,11:52 AM,12:07 PM,12:22 PM,12:37 PM,12:52 PM,1:07 PM,1:22 PM,1:37 PM,1:52 PM,2:07 PM,2:22 PM,2:37 PM,2:52 PM,3:07 PM,3:22 PM,3:37 PM,3:52 PM,4:07 PM,4:22 PM,4:37 PM,4:52 PM,5:07 PM,5:22 PM,5:37 PM,5:57 PM
Balmoral & Norah,6:24 AM,6:35 AM,6:53 AM,7:06 AM,7:23 AM,7:36 AM,7:53 AM,8:06 AM,8:23 AM,8:36 AM,8:53 AM,9:06 AM,9:23 AM,9:36 AM,9:53 AM,10:06 AM,10:23 AM,10:36 AM,10:53 AM,11:06 AM,11:23 AM,11:36 AM,11:53 AM,12:06 PM,12:23 PM,12:36 PM,12:53 PM,1:06 PM,1:23 PM,1:36 PM,1:53 PM,2:06 PM,2:23 PM,2:36 PM,2:53 PM,3:06 PM,3:23 PM,3:36 PM,3:53 PM,4:06 PM,4:23 PM,4:36 PM,4:53 PM,5:06 PM,5:23 PM,5:36 PM,5:58 PM
Balmoral & Forest,6:25 AM,6:34 AM,6:53 AM,7:06 AM,7:23 AM,7:36 AM,7:53 AM,8:06 AM,8:23 AM,8:36 AM,8:53 AM,9:06 AM,9:23 AM,9:36 AM,9:53 AM,10:06 AM,10:23 AM,10:36 AM,10:53 AM,11:06 AM,11:23 AM,11:36 AM,11:53 AM,12:06 PM,12:23 PM,12:36 PM,12:53 PM,1:06 PM,1:23 PM,1:36 PM,1:53 PM,2:06 PM,2:23 PM,2:36 PM,2:53 PM,3:06 PM,3:23 PM,3:36 PM,3:53 PM,4:06 PM,4:23 PM,4:36 PM,4:53 PM,5:06 PM,5:23 PM,5:36 PM,5:58 PM
