,132512:305475,132492:304762,132513:306067,132493:305790,132514:305232,132494:305726,132515:305660,132495:306029,132516:305192,132496:304977,132517:304786,132497:305979,132518:305248,132498:306071,132519:305125,132499:305431,132520:305229,132500:305307,132521:305690,132501:305558,132522:304682,132502:306077,132523:305020,132503:305854,132524:305157,132504:304663,132525:305589,132505:305404,132526:305739,132506:305900,132527:304803,132507:305181,132528:305645,132508:305748,132529:305252,132509:304919,132530:305918,132510:305154,132531:305783,132511:305785
Waterfront Terminal,8:40 AM,9:16 AM,9:20 AM,9:56 AM,10:00 AM,10:36 AM,10:40 AM,11:16 AM,11:20 AM,11:58 AM,12:05 PM,12:46 PM,12:50 PM,1:31 PM,1:35 PM,2:16 PM,2:20 PM,3:01 PM,3:05 PM,3:46 PM,3:50 PM,4:31 PM,4:35 PM,5:16 PM,5:20 PM,6:00 PM,6:03 PM,6:37 PM,6:48 PM,7:24 PM,7:33 PM,8:09 PM,8:18 PM,8:54 PM,9:03 PM,9:39 PM,9:48 PM,10:24 PM,10:33 PM,11:07 PM
Camelot & Court,8:40 AM,9:16 AM,9:20 AM,9:56 AM,10:00 AM,10:36 AM,10:40 AM,11:16 AM,11:20 AM,11:58 AM,12:05 PM,12:46 PM,12:50 PM,1:31 PM,1:35 PM,2:16 PM,2:20 PM,3:01 PM,3:05 PM,3:46 PM,3:50 PM,4:31 PM,4:35 PM,5:16 PM,5:20 PM,6:00 PM,6:03 PM,6:37 PM,6:48 PM,7:24 PM,7:33 PM,8:09 PM,8:18 PM,8:54 PM,9:03 PM,9:39 PM,9:48 PM,10:24 PM,10:33 PM,11:07 PM
Court & Camelot,8:40 AM,9:16 AM,9:20 AM,9:56 AM,10:00 AM,10:36 AM,10:40 AM,11:16 AM,11:20 AM,11:58 AM,12:05 PM,12:46 PM,12:50 PM,1:31 PM,1:35 PM,2:16 PM,2:20 PM,3:01 PM,3:05 PM,3:46 PM,3:50 PM,4:31 PM,4:35 PM,5:16 PM,5:20 PM,6:00 PM,6:03 PM,6:37 PM,6:48 PM,7:24 PM,7:33 PM,8:09 PM,8:18 PM,8:54 PM,9:03 PM,9:39 PM,9:48 PM,10:24 PM,10:33 PM,11:07 PM
Red River & St. Paul,8:41 AM,9:15 AM,9:21 AM,9:55 AM,10:01 AM,10:35 AM,10:41 AM,11:15 AM,11:21 AM,11:57 AM,12:06 PM,12:45 PM,12:51 PM,1:30 PM,1:36 PM,2:15 PM,2:21 PM,3:00 PM,3:06 PM,3:45 PM,3:51 PM,4:30 PM,4:36 PM,5:15 PM,5:21 PM,5:59 PM,6:04 PM,6:36 PM,6:49 PM,7:23 PM,7:34 PM,8:08 PM,8:19 PM,8:53 PM,9:04 PM,9:38 PM,9:49 PM,10:23 PM,10:34 PM,11:06 PM
Red River & Court,8:41 AM,9:15 AM,9:21 AM,9:55 AM,10:01 AM,10:35 AM,10:41 AM,11:15 AM,11:21 AM,11:57 AM,12:06 PM,12:45 PM,12:51 PM,1:30 PM,1:36 PM,2:15 PM,2:21 PM,3:00 PM,3:06 PM,3:45 PM,3:51 PM,4:30 PM,4:36 PM,5:15 PM,5:21 PM,5:59 PM,6:04 PM,6:36 PM,6:49 PM,7:23 PM,7:34 PM,8:08 PM,8:19 PM,8:53 PM,9:04 PM,9:38 PM,9:49 PM,10:23 PM,10:34 PM,11:06 PM
Red River & Algoma,8:42 AM,9:14 AM,9:22 AM,9:54 AM,10:02 AM,10:34 AM,10:42 AM,11:14 AM,11:22 AM,11:56 AM,12:07 PM,12:44 PM,12:52 PM,1:29 PM,1:37 PM,2:14 PM,2:22 PM,2:59 PM,3:07 PM,3:44 PM,3:52 PM,4:29 PM,4:37 PM,5:14 PM,5:22 PM,5:58 PM,6:05 PM,6:35 PM,6:50 PM,7:22 PM,7:35 PM,8:07 PM,8:20 PM,8:52 PM,9:05 PM,9:37 PM,9:50 PM,10:22 PM,10:35 PM,11:05 PM
Red River & Regent,8:42 AM,9:14 AM,9:22 AM,9:54 AM,10:02 AM,10:34 AM,10:42 AM,11:14 AM,11:22 AM,11:56 AM,12:07 PM,12:44 PM,12:52 PM,1:29 PM,1:37 PM,2:14 PM,2:22 PM,2:59 PM,3:07 PM,3:44 PM,3:52 PM,4:29 PM,4:37 PM,5:14 PM,5:22 PM,5:58 PM,6:05 PM,6:35 PM,6:50 PM,7:22 PM,7:35 PM,8:07 PM,8:20 PM,8:52 PM,9:05 PM,9:37 PM,9:50 PM,10:22 PM,10:35 PM,11:05 PM
Red River & Waverley,8:42 AM,9:14 AM,9:22 AM,9:54 AM,10:02 AM,10:34 AM,10:42 AM,11:14 AM,11:22 AM,11:56 AM,12:08 PM,12:43 PM,12:53 PM,1:28 PM,1:38 PM,2:13 PM,2:23 PM,2:58 PM,3:08 PM,3:43 PM,3:53 PM,4:28 PM,4:38 PM,5:13 PM,5:23 PM,5:57 PM,6:05 PM,6:35 PM,6:50 PM,7:22 PM,7:35 PM,8:07 PM,8:20 PM,8:52 PM,9:05 PM,9:37 PM,9:50 PM,10:22 PM,10:35 PM,11:05 PM
Red River & High,8:43 AM,9:13 AM,9:23 AM,9:53 AM,10:03 AM,10:33 AM,10:43 AM,11:13 AM,11:23 AM,11:55 AM,12:09 PM,12:42 PM,12:54 PM,1:27 PM,1:39 PM,2:12 PM,2:24 PM,2:57 PM,3:09 PM,3:42 PM,3:54 PM,4:27 PM,4:39 PM,5:12 PM,5:24 PM,5:56 PM,6:06 PM,6:34 PM,6:51 PM,7:21 PM,7:36 PM,8:06 PM,8:21 PM,8:51 PM,9:06 PM,9:36 PM,9:51 PM,10:21 PM,10:36 PM,11:04 PM
Red River & Hill,8:44 AM,9:12 AM,9:24 AM,9:52 AM,10:04 AM,10:32 AM,10:44 AM,11:12 AM,11:24 AM,11:54 AM,12:09 PM,12:42 PM,12:54 PM,1:27 PM,1:39 PM,2:12 PM,2:24 PM,2:57 PM,3:09 PM,3:42 PM,3:54 PM,4:27 PM,4:39 PM,5:12 PM,5:24 PM,5:56 PM,6:07 PM,6:33 PM,6:52 PM,7:20 PM,7:37 PM,8:05 PM,8:22 PM,8:50 PM,9:07 PM,9:35 PM,9:52 PM,10:20 PM,10:37 PM,11:03 PM
Red River & Pine,8:44 AM,9:12 AM,9:24 AM,9:52 AM,10:04 AM,10:32 AM,10:44 AM,11:12 AM,11:24 AM,11:54 AM,12:09 PM,12:42 PM,12:54 PM,1:27 PM,1:39 PM,2:12 PM,2:24 PM,2:57 PM,3:09 PM,3:42 PM,3:54 PM,4:27 PM,4:39 PM,5:12 PM,5:24 PM,5:56 PM,6:07 PM,6:33 PM,6:52 PM,7:20 PM,7:37 PM,8:05 PM,8:22 PM,8:50 PM,9:07 PM,9:35 PM,9:52 PM,10:20 PM,10:37 PM,11:03 PM
Red River & Martha,8:44 AM,9:12 AM,9:24 AM,9:52 AM,10:04 AM,10:32 AM,10:44 AM,11:12 AM,11:24 AM,11:54 AM,12:10 PM,12:41 PM,12:55 PM,1:26 PM,1:40 PM,2:11 PM,2:25 PM,2:56 PM,3:10 PM,3:41 PM,3:55 PM,4:26 PM,4:40 PM,5:11 PM,5:25 PM,5:55 PM,6:07 PM,6:33 PM,6:52 PM,7:20 PM,7:37 PM,8:05 PM,8:22 PM,8:50 PM,9:07 PM,9:35 PM,9:52 PM,10:20 PM,10:37 PM,11:03 PM
Red River & Hodge,8:44 AM,9:12 AM,9:24 AM,9:52 AM,10:04 AM,10:32 AM,10:44 AM,11:12 AM,11:24 AM,11:54 AM,12:10 PM,12:41 PM,12:55 PM,1:26 PM,1:40 PM,2:11 PM,2:25 PM,2:56 PM,3:10 PM,3:41 PM,3:55 PM,4:26 PM,4:40 PM,5:11 PM,5:25 PM,5:55 PM,6:07 PM,6:33 PM,6:52 PM,7:20 PM,7:37 PM,8:05 PM,8:22 PM,8:50 PM,9:07 PM,9:35 PM,9:52 PM,10:20 PM,10:37 PM,11:03 PM
Red River & Kenogami,8:45 AM,9:11 AM,9:25 AM,9:51 AM,10:05 AM,10:31 AM,10:45 AM,11:11 AM,11:25 AM,11:53 AM,12:11 PM,12:40 PM,12:56 PM,1:25 PM,1:41 PM,2:10 PM,2:26 PM,2:55 PM,3:11 PM,3:40 PM,3:56 PM,4:25 PM,4:41 PM,5:10 PM,5:26 PM,5:54 PM,6:08 PM,6:32 PM,6:53 PM,7:19 PM,7:38 PM,8:04 PM,8:23 PM,8:49 PM,9:08 PM,9:34 PM,9:53 PM,10:19 PM,10:38 PM,11:02 PM
Red River & Algonquin,8:45 AM,9:11 AM,9:25 AM,9:51 AM,10:05 AM,10:31 AM,10:45 AM,11:11 AM,11:25 AM,11:53 AM,12:11 PM,12:40 PM,12:56 PM,1:25 PM,1:41 PM,2:10 PM,2:26 PM,2:55 PM,3:11 PM,3:40 PM,3:56 PM,4:25 PM,4:41 PM,5:10 PM,5:26 PM,5:54 PM,6:08 PM,6:32 PM,6:53 PM,7:19 PM,7:38 PM,8:04 PM,8:23 PM,8:49 PM,9:08 PM,9:34 PM,9:53 PM,10:19 PM,10:38 PM,11:02 PM
Red River & Clarkson,8:46 AM,9:10 AM,9:26 AM,9:50 AM,10:06 AM,10:30 AM,10:46 AM,11:10 AM,11:26 AM,11:52 AM,12:11 PM,12:40 PM,12:56 PM,1:25 PM,1:41 PM,2:10 PM,2:26 PM,2:55 PM,3:11 PM,3:40 PM,3:56 PM,4:25 PM,4:41 PM,5:10 PM,5:26 PM,5:54 PM,6:09 PM,6:31 PM,6:54 PM,7:18 PM,7:39 PM,8:03 PM,8:24 PM,8:48 PM,9:09 PM,9:33 PM,9:54 PM,10:18 PM,10:39 PM,11:01 PM
Red River Towers,8:46 AM,9:10 AM,9:26 AM,9:50 AM,10:06 AM,10:30 AM,10:46 AM,11:10 AM,11:26 AM,11:52 AM,12:12 PM,12:39 PM,12:57 PM,1:24 PM,1:42 PM,2:09 PM,2:27 PM,2:54 PM,3:12 PM,3:39 PM,3:57 PM,4:24 PM,4:42 PM,5:09 PM,5:27 PM,5:53 PM,6:09 PM,6:31 PM,6:54 PM,7:18 PM,7:39 PM,8:03 PM,8:24 PM,8:48 PM,9:09 PM,9:33 PM,9:54 PM,10:18 PM,10:39 PM,11:01 PM
Red River & Junot,8:48 AM,9:08 AM,9:28 AM,9:48 AM,10:08 AM,10:28 AM,10:48 AM,11:08 AM,11:28 AM,11:50 AM,12:14 PM,12:37 PM,12:59 PM,1:22 PM,1:44 PM,2:07 PM,2:29 PM,2:52 PM,3:14 PM,3:37 PM,3:59 PM,4:22 PM,4:44 PM,5:07 PM,5:29 PM,5:51 PM,6:11 PM,6:29 PM,6:56 PM,7:16 PM,7:41 PM,8:01 PM,8:26 PM,8:46 PM,9:11 PM,9:31 PM,9:56 PM,10:16 PM,10:41 PM,10:59 PM
County Fair Mall,8:50 AM,9:06 AM,9:30 AM,9:46 AM,10:10 AM,10:26 AM,10:50 AM,11:06 AM,11:30 AM,11:48 AM,12:16 PM,12:35 PM,1:01 PM,1:20 PM,1:46 PM,2:05 PM,2:31 PM,2:50 PM,3:16 PM,3:35 PM,4:01 PM,4:20 PM,4:46 PM,5:05 PM,5:31 PM,5:49 PM,6:13 PM,6:27 PM,6:58 PM,7:14 PM,7:43 PM,7:59 PM,8:28 PM,8:44 PM,9:13 PM,9:29 PM,9:58 PM,10:14 PM,10:43 PM,10:57 PM
Dawson & East,8:50 AM,9:06 AM,9:30 AM,9:46 AM,10:10 AM,10:26 AM,10:50 AM,11:06 AM,11:30 AM,11:48 AM,12:16 PM,12:35 PM,1:01 PM,1:20 PM,1:46 PM,2:05 PM,2:31 PM,2:50 PM,3:16 PM,3:35 PM,4:01 PM,4:20 PM,4:46 PM,5:05 PM,5:31 PM,5:49 PM,6:13 PM,6:27 PM,6:58 PM,7:14 PM,7:43 PM,7:59 PM,8:28 PM,8:44 PM,9:13 PM,9:29 PM,9:58 PM,10:14 PM,10:43 PM,10:57 PM
East & Market,8:50 AM,9:06 AM,9:30 AM,9:46 AM,10:10 AM,10:26 AM,10:50 AM,11:06 AM,11:30 AM,11:48 AM,12:16 PM,12:35 PM,1:01 PM,1:20 PM,1:46 PM,2:05 PM,2:31 PM,2:50 PM,3:16 PM,3:35 PM,4:01 PM,4:20 PM,4:46 PM,5:05 PM,5:31 PM,5:49 PM,6:13 PM,6:27 PM,6:58 PM,7:14 PM,7:43 PM,7:59 PM,8:28 PM,8:44 PM,9:13 PM,9:29 PM,9:58 PM,10:14 PM,10:43 PM,10:57 PM
East & London,8:51 AM,9:05 AM,9:31 AM,9:45 AM,10:11 AM,10:25 AM,10:51 AM,11:05 AM,11:31 AM,11:47 AM,12:17 PM,12:34 PM,1:02 PM,1:19 PM,1:47 PM,2:04 PM,2:32 PM,2:49 PM,3:17 PM,3:34 PM,4:02 PM,4:19 PM,4:47 PM,5:04 PM,5:32 PM,5:48 PM,6:14 PM,6:26 PM,6:59 PM,7:13 PM,7:44 PM,7:58 PM,8:29 PM,8:43 PM,9:14 PM,9:28 PM,9:59 PM,10:13 PM,10:44 PM,10:56 PM
County & Renfrew,8:51 AM,9:05 AM,9:31 AM,9:45 AM,10:11 AM,10:25 AM,10:51 AM,11:05 AM,11:31 AM,11:47 AM,12:17 PM,12:34 PM,1:02 PM,1:19 PM,1:47 PM,2:04 PM,2:32 PM,2:49 PM,3:17 PM,3:34 PM,4:02 PM,4:19 PM,4:47 PM,5:04 PM,5:32 PM,5:48 PM,6:14 PM,6:26 PM,6:59 PM,7:13 PM,7:44 PM,7:58 PM,8:29 PM,8:43 PM,9:14 PM,9:28 PM,9:59 PM,10:13 PM,10:44 PM,10:56 PM
