City Hall Terminal,6:30 AM,,,11:30 AM,,,
Donald & Cent. Sq.,6:31 AM,,,11:31 AM,,,
Donald & Harold,6:32 AM,,,11:32 AM,,,
Franklin & Arthur,,,,11:33 AM,,,
Franklin & Isabella,,,,11:34 AM,,,
Franklin & Moodie,,,,11:34 AM,,,
Walsh & Franklin,,,,11:35 AM,,,
Walsh & St. Pats,6:35 AM,,,11:35 AM,,,
Sprague & Empire,6:36 AM,,,11:36 AM,,,
Sprague & Brock,6:37 AM,,,11:37 AM,,,
Brock & 300s Block,6:38 AM,,,11:38 AM,,,
Brock & Tarbutt,6:39 AM,,,11:39 AM,,,
Brock & 200s Block,6:39 AM,,,11:39 AM,,,
Ford & Brock,6:40 AM,,,11:40 AM,,,
Ford & Frederica,6:40 AM,,,11:40 AM,,,
Frederica & Ford,6:41 AM,,,11:41 AM,,,
Frederica & 100s Block,6:41 AM,,,11:41 AM,,,
Frederica & Edward,6:41 AM,,,11:41 AM,,,
Frederica & Brown,6:45 AM,8:05 AM,9:28 AM,11:45 AM,1:10 PM,3:45 PM,5:10 PM
Frederica & 200s Block,6:45 AM,8:05 AM,9:28 AM,11:45 AM,1:10 PM,3:45 PM,5:10 PM
Frederica & Heath,6:45 AM,8:05 AM,9:28 AM,11:45 AM,1:10 PM,3:45 PM,5:10 PM
Frederica at James,6:45 AM,8:05 AM,9:28 AM,11:45 AM,1:10 PM,3:45 PM,5:10 PM
James & Gore,6:45 AM,8:06 AM,9:29 AM,11:46 AM,1:11 PM,3:46 PM,5:11 PM
Montreal & Bailey,6:46 AM,8:07 AM,9:30 AM,11:47 AM,1:12 PM,3:47 PM,5:12 PM
Montreal & Mountdale,6:47 AM,8:07 AM,9:30 AM,11:47 AM,1:12 PM,3:47 PM,5:12 PM
Bombardier Lot 1,6:47 AM,8:08 AM,9:31 AM,11:48 AM,1:13 PM,3:48 PM,5:13 PM
Bombardier Lot 2,6:48 AM,8:08 AM,9:31 AM,11:48 AM,1:13 PM,3:48 PM,5:13 PM
Neebing & Montreal,6:48 AM,8:09 AM,9:32 AM,11:49 AM,1:14 PM,3:49 PM,5:14 PM
Broadway & Cemetery,6:50 AM,8:10 AM,9:33 AM,11:50 AM,1:15 PM,3:50 PM,5:15 PM
Broadway & Meryle,6:50 AM,8:11 AM,9:34 AM,11:51 AM,1:16 PM,3:51 PM,5:16 PM
Broadway & Prokops,6:51 AM,8:11 AM,9:34 AM,11:51 AM,1:16 PM,3:51 PM,5:16 PM
Broadway & 1500s Block,6:51 AM,8:12 AM,9:35 AM,11:52 AM,1:17 PM,3:52 PM,5:17 PM
Broadway & Victor,6:51 AM,8:12 AM,9:35 AM,11:52 AM,1:17 PM,3:52 PM,5:17 PM
Broadway & Community Ctr.,6:52 AM,8:12 AM,9:35 AM,11:52 AM,1:17 PM,3:52 PM,5:17 PM
Broadway & Daisy,6:52 AM,8:13 AM,9:36 AM,11:53 AM,1:18 PM,3:53 PM,5:18 PM
Broadway & Glenwood,6:52 AM,8:13 AM,9:36 AM,11:53 AM,1:18 PM,3:53 PM,5:18 PM
Broadway & CN Yard,6:53 AM,8:14 AM,9:37 AM,11:54 AM,1:19 PM,3:54 PM,5:19 PM
Broadway & Highland,6:53 AM,8:14 AM,9:37 AM,11:54 AM,1:19 PM,3:54 PM,5:19 PM
Broadway & 1900s Block,6:53 AM,8:14 AM,9:37 AM,11:54 AM,1:19 PM,3:54 PM,5:19 PM
Broadway & King,6:54 AM,8:15 AM,9:38 AM,11:55 AM,1:20 PM,3:55 PM,5:20 PM
Fort William Historical Park,,8:19 AM,9:42 AM,11:59 AM,1:24 PM,3:59 PM,5:24 PM
Broadway & Kerega,6:54 AM,8:20 AM,9:43 AM,12:00 PM,1:25 PM,4:00 PM,5:25 PM
Broadway & Bowlker,6:54 AM,8:20 AM,9:43 AM,12:00 PM,1:25 PM,4:00 PM,5:25 PM
Broadway & 2100s Block,6:55 AM,8:21 AM,9:44 AM,12:01 PM,1:26 PM,4:01 PM,5:26 PM
Broadway & 22nd Side Rd.,6:55 AM,8:21 AM,9:44 AM,12:01 PM,1:26 PM,4:01 PM,5:26 PM
Broadway & 25th Side Rd.,6:57 AM,8:22 AM,9:45 AM,12:02 PM,1:27 PM,4:02 PM,5:27 PM
25th Side Rd. & Rosslyn,7:00 AM,8:24 AM,9:47 AM,12:04 PM,1:29 PM,4:04 PM,5:29 PM
Rosslyn & Whitegates,7:00 AM,8:24 AM,9:47 AM,12:04 PM,1:29 PM,4:04 PM,5:29 PM
Rosslyn & Tonkin,7:00 AM,8:24 AM,9:47 AM,12:04 PM,1:29 PM,4:04 PM,5:29 PM
Rosslyn & 22nd Side Rd.,7:01 AM,8:25 AM,9:48 AM,12:05 PM,1:30 PM,4:05 PM,5:30 PM
Rosslyn & Piper,7:01 AM,8:25 AM,9:48 AM,12:05 PM,1:30 PM,4:05 PM,5:30 PM
