Frederica & Brown,8:04 AM,8:05 AM,8:45 AM,12:47 PM,12:50 PM,4:17 PM,4:20 PM,5:05 PM
Frederica & 200s Block,8:04 AM,8:05 AM,8:45 AM,12:47 PM,12:50 PM,4:17 PM,4:20 PM,5:05 PM
Frederica & Heath,8:04 AM,8:05 AM,8:45 AM,12:47 PM,12:50 PM,4:17 PM,4:20 PM,5:05 PM
Frederica at J aes,8:04 AM,8:05 AM,8:45 AM,12:47 PM,12:50 PM,4:17 PM,4:20 PM,5:05 PM
J aes & Gore,8:03 AM,8:05 AM,8:46 AM,12:46 PM,12:51 PM,4:16 PM,4:21 PM,5:06 PM
Montreal & Bailey,8:02 AM,8:06 AM,8:47 AM,12:45 PM,12:52 PM,4:15 PM,4:22 PM,5:07 PM
Montreal & Mountdale,8:01 AM,8:07 AM,8:48 AM,12:44 PM,12:53 PM,4:14 PM,4:23 PM,5:08 PM
Bombardier Lot 1,8:01 AM,8:07 AM,8:48 AM,12:44 PM,12:53 PM,4:14 PM,4:23 PM,5:08 PM
Bombardier Lot 2,8:01 AM,8:08 AM,8:48 AM,12:44 PM,12:53 PM,4:14 PM,4:23 PM,5:08 PM
Neebing & Montreal,8:00 AM,8:08 AM,8:49 AM,12:43 PM,12:54 PM,4:13 PM,4:24 PM,5:09 PM
Broadway & Cemetery,7:58 AM,8:10 AM,8:51 AM,12:41 PM,12:56 PM,4:11 PM,4:26 PM,5:11 PM
Broadway & Meryle,7:57 AM,8:10 AM,8:52 AM,12:40 PM,12:57 PM,4:10 PM,4:27 PM,5:12 PM
Broadway & Prokops,7:57 AM,8:11 AM,8:52 AM,12:40 PM,12:57 PM,4:10 PM,4:27 PM,5:12 PM
Broadway & 1500s Block,7:56 AM,8:11 AM,8:53 AM,12:39 PM,12:58 PM,4:09 PM,4:28 PM,5:13 PM
Broadway & Victor,7:56 AM,8:11 AM,8:53 AM,12:39 PM,12:58 PM,4:09 PM,4:28 PM,5:13 PM
Broadway & Community Ctr.,7:55 AM,8:12 AM,8:54 AM,12:38 PM,12:59 PM,4:08 PM,4:29 PM,5:14 PM
Broadway & Daisy,7:55 AM,8:12 AM,8:54 AM,12:38 PM,12:59 PM,4:08 PM,4:29 PM,5:14 PM
Broadway & Glenwood,7:55 AM,8:12 AM,8:54 AM,12:38 PM,12:59 PM,4:08 PM,4:29 PM,5:14 PM
Broadway & CN Yard,7:54 AM,8:13 AM,8:55 AM,12:37 PM,1:00 PM,4:07 PM,4:30 PM,5:15 PM
Broadway & Highland,7:54 AM,8:13 AM,8:55 AM,12:37 PM,1:00 PM,4:07 PM,4:30 PM,5:15 PM
Broadway & 1900s Block,7:54 AM,8:13 AM,8:55 AM,12:37 PM,1:00 PM,4:07 PM,4:30 PM,5:15 PM
Broadway & King,7:53 AM,8:14 AM,8:56 AM,12:36 PM,1:01 PM,4:06 PM,4:31 PM,5:16 PM
Broadway & Kerega,7:53 AM,8:14 AM,8:56 AM,12:36 PM,1:01 PM,4:06 PM,4:31 PM,5:16 PM
