,132806:304881,132804:305311,132825:304862,132808:306005,132823:305728,132807:305183,132815:304859,132791:305542,132798:305698,132792:305752,132816:305405,132809:305707,132799:305763,132793:305898,132817:304863,132810:304996,132800:306007,132794:305925,132818:304849,132811:305724,132790:305490,132795:305560,132801:304939,132812:305166,132802:305523,132796:304832,132803:305236,132821:305320,132829:305637,132824:305376,132820:304872,132826:305336,132822:304656,132827:304989,132828:305055,132813:305004,132797:305002,132805:304975,132819:305057,132814:305879
City Hall Terminal,8:20 AM,9:00 AM,9:00 AM,9:40 AM,10:20 AM,9:40 AM,11:00 AM,10:20 AM,11:40 AM,11:00 AM,12:25 PM,11:43 AM,1:12 PM,12:28 PM,1:57 PM,1:13 PM,2:42 PM,1:58 PM,3:27 PM,2:43 PM,4:12 PM,3:28 PM,4:57 PM,4:13 PM,5:40 PM,4:58 PM,6:21 PM,5:41 PM,7:05 PM,6:25 PM,7:50 PM,7:10 PM,8:35 PM,7:55 PM,9:20 PM,8:40 PM,9:25 PM,10:05 PM,10:50 PM,10:10 PM
Syndicate & Arthur,8:20 AM,9:00 AM,9:00 AM,9:40 AM,10:20 AM,9:40 AM,11:00 AM,10:20 AM,11:40 AM,11:00 AM,12:25 PM,11:43 AM,1:12 PM,12:28 PM,1:57 PM,1:13 PM,2:42 PM,1:58 PM,3:27 PM,2:43 PM,4:12 PM,3:28 PM,4:57 PM,4:13 PM,5:40 PM,4:58 PM,6:21 PM,5:41 PM,7:05 PM,6:25 PM,7:50 PM,7:10 PM,8:35 PM,7:55 PM,9:20 PM,8:40 PM,9:25 PM,10:05 PM,10:50 PM,10:10 PM
Syndicate & Ridgeway,8:20 AM,9:00 AM,9:00 AM,9:40 AM,10:20 AM,9:40 AM,11:00 AM,10:20 AM,11:40 AM,11:00 AM,12:25 PM,11:43 AM,1:12 PM,12:28 PM,1:57 PM,1:13 PM,2:42 PM,1:58 PM,3:27 PM,2:43 PM,4:12 PM,3:28 PM,4:57 PM,4:13 PM,5:40 PM,4:58 PM,6:21 PM,5:41 PM,7:05 PM,6:25 PM,7:50 PM,7:10 PM,8:35 PM,7:55 PM,9:20 PM,8:40 PM,9:25 PM,10:05 PM,10:50 PM,10:10 PM
Syndicate & Duncan,8:21 AM,8:59 AM,9:01 AM,9:39 AM,10:19 AM,9:41 AM,10:59 AM,10:21 AM,11:39 AM,11:01 AM,12:24 PM,11:44 AM,1:11 PM,12:29 PM,1:56 PM,1:14 PM,2:41 PM,1:59 PM,3:26 PM,2:44 PM,4:11 PM,3:29 PM,4:56 PM,4:14 PM,5:39 PM,4:59 PM,6:20 PM,5:42 PM,7:04 PM,6:26 PM,7:49 PM,7:11 PM,8:34 PM,7:56 PM,9:19 PM,8:41 PM,9:26 PM,10:04 PM,10:49 PM,10:11 PM
Syndicate & Vickers,8:21 AM,8:59 AM,9:01 AM,9:39 AM,10:19 AM,9:41 AM,10:59 AM,10:21 AM,11:39 AM,11:01 AM,12:24 PM,11:44 AM,1:11 PM,12:29 PM,1:56 PM,1:14 PM,2:41 PM,1:59 PM,3:26 PM,2:44 PM,4:11 PM,3:29 PM,4:56 PM,4:14 PM,5:39 PM,4:59 PM,6:20 PM,5:42 PM,7:04 PM,6:26 PM,7:49 PM,7:11 PM,8:34 PM,7:56 PM,9:19 PM,8:41 PM,9:26 PM,10:04 PM,10:49 PM,10:11 PM
Walsh & Catherine,8:22 AM,8:58 AM,9:02 AM,9:38 AM,10:18 AM,9:42 AM,10:58 AM,10:22 AM,11:38 AM,11:02 AM,12:23 PM,11:45 AM,1:10 PM,12:30 PM,1:55 PM,1:15 PM,2:40 PM,2:00 PM,3:25 PM,2:45 PM,4:10 PM,3:30 PM,4:55 PM,4:15 PM,5:38 PM,5:00 PM,6:19 PM,5:43 PM,7:03 PM,6:27 PM,7:48 PM,7:12 PM,8:33 PM,7:57 PM,9:18 PM,8:42 PM,9:27 PM,10:03 PM,10:48 PM,10:12 PM
Walsh & Marks,8:22 AM,8:58 AM,9:02 AM,9:38 AM,10:18 AM,9:42 AM,10:58 AM,10:22 AM,11:38 AM,11:02 AM,12:23 PM,11:45 AM,1:10 PM,12:30 PM,1:55 PM,1:15 PM,2:40 PM,2:00 PM,3:25 PM,2:45 PM,4:10 PM,3:30 PM,4:55 PM,4:15 PM,5:38 PM,5:00 PM,6:19 PM,5:43 PM,7:03 PM,6:27 PM,7:48 PM,7:12 PM,8:33 PM,7:57 PM,9:18 PM,8:42 PM,9:27 PM,10:03 PM,10:48 PM,10:12 PM
Walsh & Franklin,8:23 AM,8:57 AM,9:03 AM,9:37 AM,10:17 AM,9:43 AM,10:57 AM,10:23 AM,11:37 AM,11:03 AM,12:22 PM,11:46 AM,1:09 PM,12:31 PM,1:54 PM,1:16 PM,2:39 PM,2:01 PM,3:24 PM,2:46 PM,4:09 PM,3:31 PM,4:54 PM,4:16 PM,5:37 PM,5:01 PM,6:18 PM,5:44 PM,7:02 PM,6:28 PM,7:47 PM,7:13 PM,8:32 PM,7:58 PM,9:17 PM,8:43 PM,9:28 PM,10:02 PM,10:47 PM,10:13 PM
Walsh & St. Pats,8:23 AM,8:57 AM,9:03 AM,9:37 AM,10:17 AM,9:43 AM,10:57 AM,10:23 AM,11:37 AM,11:03 AM,12:22 PM,11:46 AM,1:09 PM,12:31 PM,1:54 PM,1:16 PM,2:39 PM,2:01 PM,3:24 PM,2:46 PM,4:09 PM,3:31 PM,4:54 PM,4:16 PM,5:37 PM,5:01 PM,6:18 PM,5:44 PM,7:02 PM,6:28 PM,7:47 PM,7:13 PM,8:32 PM,7:58 PM,9:17 PM,8:43 PM,9:28 PM,10:02 PM,10:47 PM,10:13 PM
Walsh & Brunswick,8:23 AM,8:57 AM,9:03 AM,9:37 AM,10:17 AM,9:43 AM,10:57 AM,10:23 AM,11:37 AM,11:03 AM,12:22 PM,11:46 AM,1:09 PM,12:31 PM,1:54 PM,1:16 PM,2:39 PM,2:01 PM,3:24 PM,2:46 PM,4:09 PM,3:31 PM,4:54 PM,4:16 PM,5:37 PM,5:01 PM,6:18 PM,5:44 PM,7:02 PM,6:28 PM,7:47 PM,7:13 PM,8:32 PM,7:58 PM,9:17 PM,8:43 PM,9:28 PM,10:02 PM,10:47 PM,10:13 PM
