,132861:305303,132842:299972,132845:305971,132846:304732,132863:299439,132847:305564,132830:305782,132848:305075,132831:305035,132832:304714,132849:305905,132850:305595,132833:305410,132851:304840,132834:306009,132835:305587,132852:305968,132853:304697,132836:304994,132854:305630,132837:305489,132855:304728,132838:305947,132856:304777,132839:304735,132840:305676,132860:305467,132841:301207,132862:305445,132865:301304,132864:306038,132866:300797,132857:305351,132867:300574,132858:305025,132843:299861,132859:305114,132844:301308
Waterfront Terminal,8:40 AM,9:20 AM,9:20 AM,10:00 AM,10:00 AM,10:40 AM,10:39 AM,11:20 AM,11:28 AM,12:08 PM,12:05 PM,12:50 PM,12:53 PM,1:35 PM,1:38 PM,2:23 PM,2:20 PM,3:05 PM,3:08 PM,3:50 PM,3:53 PM,4:35 PM,4:38 PM,5:20 PM,5:14 PM,4:44 PM,6:03 PM,6:37 PM,6:48 PM,7:28 PM,7:33 PM,8:13 PM,8:18 PM,8:58 PM,9:03 PM,9:43 PM,9:48 PM,10:28 PM
Camelot & Court,8:40 AM,9:20 AM,9:20 AM,10:00 AM,10:00 AM,10:40 AM,10:39 AM,11:20 AM,11:28 AM,12:08 PM,12:05 PM,12:50 PM,12:53 PM,1:35 PM,1:38 PM,2:23 PM,2:20 PM,3:05 PM,3:08 PM,3:50 PM,3:53 PM,4:35 PM,4:38 PM,5:20 PM,5:14 PM,4:44 PM,6:03 PM,6:37 PM,6:48 PM,7:28 PM,7:33 PM,8:13 PM,8:18 PM,8:58 PM,9:03 PM,9:43 PM,9:48 PM,10:28 PM
Court & Camelot,8:40 AM,9:20 AM,9:20 AM,10:00 AM,10:00 AM,10:40 AM,10:39 AM,11:20 AM,11:28 AM,12:08 PM,12:05 PM,12:50 PM,12:53 PM,1:35 PM,1:38 PM,2:23 PM,2:20 PM,3:05 PM,3:08 PM,3:50 PM,3:53 PM,4:35 PM,4:38 PM,5:20 PM,5:14 PM,4:44 PM,6:03 PM,6:37 PM,6:48 PM,7:28 PM,7:33 PM,8:13 PM,8:18 PM,8:58 PM,9:03 PM,9:43 PM,9:48 PM,10:28 PM
Red River & St. Paul,8:41 AM,9:19 AM,9:21 AM,10:01 AM,9:59 AM,10:41 AM,10:38 AM,11:21 AM,11:27 AM,12:07 PM,12:06 PM,12:51 PM,12:52 PM,1:36 PM,1:37 PM,2:22 PM,2:21 PM,3:06 PM,3:07 PM,3:51 PM,3:52 PM,4:36 PM,4:37 PM,5:21 PM,5:13 PM,4:45 PM,6:04 PM,6:36 PM,6:49 PM,7:27 PM,7:34 PM,8:12 PM,8:19 PM,8:57 PM,9:04 PM,9:42 PM,9:49 PM,10:27 PM
Red River & Court,8:41 AM,9:19 AM,9:21 AM,10:01 AM,9:59 AM,10:41 AM,10:38 AM,11:21 AM,11:27 AM,12:07 PM,12:06 PM,12:51 PM,12:52 PM,1:36 PM,1:37 PM,2:22 PM,2:21 PM,3:06 PM,3:07 PM,3:51 PM,3:52 PM,4:36 PM,4:37 PM,5:21 PM,5:13 PM,4:45 PM,6:04 PM,6:36 PM,6:49 PM,7:27 PM,7:34 PM,8:12 PM,8:19 PM,8:57 PM,9:04 PM,9:42 PM,9:49 PM,10:27 PM
Algoma & Van Norman,8:42 AM,9:18 AM,9:22 AM,10:02 AM,9:58 AM,10:42 AM,10:37 AM,11:22 AM,11:26 AM,12:06 PM,12:07 PM,12:52 PM,12:51 PM,1:37 PM,1:36 PM,2:21 PM,2:22 PM,3:07 PM,3:06 PM,3:52 PM,3:51 PM,4:37 PM,4:36 PM,5:22 PM,5:12 PM,4:46 PM,6:05 PM,6:35 PM,6:50 PM,7:26 PM,7:35 PM,8:11 PM,8:20 PM,8:56 PM,9:05 PM,9:41 PM,9:50 PM,10:26 PM
Algoma & Camelot,8:42 AM,9:18 AM,9:22 AM,10:02 AM,9:58 AM,10:42 AM,10:37 AM,11:22 AM,11:26 AM,12:06 PM,12:07 PM,12:52 PM,12:51 PM,1:37 PM,1:36 PM,2:21 PM,2:22 PM,3:07 PM,3:06 PM,3:52 PM,3:51 PM,4:37 PM,4:36 PM,5:22 PM,5:12 PM,4:46 PM,6:05 PM,6:35 PM,6:50 PM,7:26 PM,7:35 PM,8:11 PM,8:20 PM,8:56 PM,9:05 PM,9:41 PM,9:50 PM,10:26 PM
Algoma & St. George,8:43 AM,9:17 AM,9:23 AM,10:03 AM,9:57 AM,10:43 AM,10:36 AM,11:23 AM,11:25 AM,12:05 PM,12:08 PM,12:53 PM,12:50 PM,1:38 PM,1:35 PM,2:20 PM,2:23 PM,3:08 PM,3:05 PM,3:53 PM,3:50 PM,4:38 PM,4:35 PM,5:23 PM,5:11 PM,4:47 PM,6:06 PM,6:34 PM,6:51 PM,7:25 PM,7:36 PM,8:10 PM,8:21 PM,8:55 PM,9:06 PM,9:40 PM,9:51 PM,10:25 PM
Algoma & Harrington,8:43 AM,9:17 AM,9:23 AM,10:03 AM,9:57 AM,10:43 AM,10:36 AM,11:23 AM,11:25 AM,12:05 PM,12:08 PM,12:53 PM,12:50 PM,1:38 PM,1:35 PM,2:20 PM,2:23 PM,3:08 PM,3:05 PM,3:53 PM,3:50 PM,4:38 PM,4:35 PM,5:23 PM,5:11 PM,4:47 PM,6:06 PM,6:34 PM,6:51 PM,7:25 PM,7:36 PM,8:10 PM,8:21 PM,8:55 PM,9:06 PM,9:40 PM,9:51 PM,10:25 PM
River & Farrand,8:44 AM,9:16 AM,9:24 AM,10:04 AM,9:56 AM,10:44 AM,10:35 AM,11:24 AM,11:24 AM,12:04 PM,12:09 PM,12:54 PM,12:49 PM,1:39 PM,1:34 PM,2:19 PM,2:24 PM,3:09 PM,3:04 PM,3:54 PM,3:49 PM,4:39 PM,4:34 PM,5:24 PM,5:10 PM,4:48 PM,6:07 PM,6:33 PM,6:52 PM,7:24 PM,7:37 PM,8:09 PM,8:22 PM,8:54 PM,9:07 PM,9:39 PM,9:52 PM,10:24 PM
