route_id,trip_id,trip_headsign,origin,destination,start_time,end_time,delay,total_distance,total_time,avg_speed,avg_acceleration,shape_id,road_grade,stop_density,has_station,dist_to_station,time_at_station
3C,135678:301497,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,06:30:00,06:48:00,0 min,7.169,18.0,15.988342857142856,458.9622857142856,3168,-2.979,4.882131399079369,-,0.0,-
3C,135540:303287,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,06:53:00,07:09:00,5.0 min,7.985,16.0,18.36154838709677,496.5739354838692,3271,-3.24,3.8822792736380713,Waterfront Terminal,7.985,07:09:00
3C,135697:300016,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,07:30:00,07:50:00,21.0 min,7.169,20.0,14.872914285714296,399.4239999999991,3168,-2.979,4.882131399079369,-,0.0,-
3C,135542:299214,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,07:51:00,08:10:00,1.0 min,7.985,19.0,17.078230414746535,389.71668729427375,3271,-3.24,3.8822792736380713,Waterfront Terminal,7.985,08:10:00
3C,135715:301415,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,08:30:00,08:50:00,20.0 min,7.169,20.0,14.872914285714293,399.4240000000003,3168,-2.979,4.882131399079369,-,0.0,-
3C,135544:301575,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,08:51:00,09:10:00,1.0 min,7.985,19.0,17.078230414746514,389.7166872942724,3271,-3.24,3.8822792736380713,Waterfront Terminal,7.985,09:10:00
3C,135732:301070,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,09:30:00,09:50:00,20.0 min,7.169,20.0,14.872914285714293,399.4240000000003,3168,-2.979,4.882131399079369,-,0.0,-
3C,135546:299462,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,09:51:00,10:10:00,1.0 min,7.985,19.0,17.078230414746514,389.7166872942724,3271,-3.24,3.8822792736380713,Waterfront Terminal,7.985,10:10:00
3C,135001:301100,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,10:30:00,10:50:00,20.0 min,7.169,20.0,14.872914285714293,399.4240000000003,3168,-2.979,4.882131399079369,-,0.0,-
3C,134985:300985,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,10:51:00,11:10:00,1.0 min,7.985,19.0,17.078230414746514,389.7166872942724,3271,-3.24,3.8822792736380713,Waterfront Terminal,7.985,11:10:00
3C,135003:300864,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,11:30:00,11:50:00,20.0 min,7.169,20.0,14.872914285714293,399.4240000000003,3168,-2.979,4.882131399079369,-,0.0,-
3C,134987:299566,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,11:51:00,12:10:00,1.0 min,7.985,19.0,17.078230414746514,389.7166872942724,3271,-3.24,3.8822792736380713,Waterfront Terminal,7.985,12:10:00
3C,135005:301705,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,12:30:00,12:50:00,20.0 min,7.169,20.0,14.872914285714293,399.4240000000003,3168,-2.979,4.882131399079369,-,0.0,-
3C,134989:300538,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,12:51:00,13:10:00,1.0 min,7.985,19.0,17.078230414746514,389.7166872942724,3271,-3.24,3.8822792736380713,Waterfront Terminal,7.985,13:10:00
3C,135007:300606,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,13:30:00,13:50:00,20.0 min,7.169,20.0,14.872914285714293,399.4240000000003,3168,-2.979,4.882131399079369,-,0.0,-
3C,134991:300689,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,13:51:00,14:10:00,1.0 min,7.985,19.0,17.078230414746514,389.7166872942724,3271,-3.24,3.8822792736380713,Waterfront Terminal,7.985,14:10:00
3C,135009:301755,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,14:30:00,14:50:00,20.0 min,7.169,20.0,14.872914285714293,399.4240000000003,3168,-2.979,4.882131399079369,-,0.0,-
3C,134993:301621,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,14:51:00,15:10:00,1.0 min,7.985,19.0,17.078230414746514,389.7166872942724,3271,-3.24,3.8822792736380713,Waterfront Terminal,7.985,15:10:00
3C,135011:300353,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,15:30:00,15:50:00,20.0 min,7.169,20.0,14.872914285714293,399.4240000000003,3168,-2.979,4.882131399079369,-,0.0,-
3C,134995:300720,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,15:51:00,16:10:00,1.0 min,7.985,19.0,17.07823041474651,389.7166872942726,3271,-3.24,3.8822792736380713,Waterfront Terminal,7.985,16:10:00
3C,135013:301626,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,16:30:00,16:50:00,20.0 min,7.169,20.0,14.872914285714256,399.4240000000065,3168,-2.979,4.882131399079369,-,0.0,-
3C,134997:301668,COUNTY PARK to Northwood,Castlegreen & Superiorview,Waterfront Terminal,16:51:00,17:10:00,1.0 min,7.985,19.0,17.078230414746614,389.71668729427455,3271,-3.24,3.8822792736380713,Waterfront Terminal,7.985,17:10:00
3C,135015:301335,COUNTY PARK to Castlegreen Dr,Waterfront Terminal,Castlegreen & Superiorview,17:30:00,17:50:00,20.0 min,7.169,20.0,14.872914285714256,399.4240000000065,3168,-2.979,4.882131399079369,-,0.0,-
3C,134999:300969,COUNTY PARK to Waterfront,Castlegreen & Superiorview,Waterfront Terminal,17:51:00,18:10:00,1.0 min,7.985,19.0,17.078230414746614,389.71668729427455,3269,-3.24,3.8822792736380713,Waterfront Terminal,7.985,18:10:00
