route_id,trip_id,trip_headsign,origin,destination,start_time,end_time,delay,total_distance,total_time,avg_speed,avg_acceleration,shape_id,road_grade,stop_density,has_station,dist_to_station,time_at_station
3J,135675:301280,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,06:20:00,06:39:00,0 min,8.616,19.0,19.54278571428571,589.407755102041,3287,-2.204,3.714020427112349,-,0.0,-
3J,135655:299648,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,06:40:00,06:55:00,1.0 min,5.541,15.0,15.11714285714287,435.4938775510194,3300,-2.061,3.970402454430608,Waterfront Terminal,5.541,06:55:00
3J,135694:300026,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,07:15:00,07:34:00,20.0 min,8.616,19.0,19.54278571428572,589.4077551020397,3287,-2.204,3.714020427112349,-,0.0,-
3J,135657:303501,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,07:37:00,07:55:00,3.0 min,6.602,18.0,16.407619047619036,542.6448979591854,3286,-2.061,3.635262041805513,Waterfront Terminal,6.602,07:55:00
3J,135711:301480,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,08:15:00,08:36:00,20.0 min,8.616,21.0,18.32278571428573,524.2877551020396,3287,-2.204,3.714020427112349,-,0.0,-
3J,135659:303318,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,08:37:00,08:55:00,1.0 min,6.602,18.0,16.407619047619054,542.6448979591777,3286,-2.061,3.635262041805513,Waterfront Terminal,6.602,08:55:00
3J,135729:300241,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,09:15:00,09:36:00,20.0 min,8.616,21.0,18.32278571428573,524.2877551020396,3287,-2.204,3.714020427112349,-,0.0,-
3J,135661:302955,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,09:37:00,09:55:00,1.0 min,6.602,18.0,16.407619047619054,542.6448979591777,3286,-2.061,3.635262041805513,Waterfront Terminal,6.602,09:55:00
3J,134899:301208,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,10:15:00,10:36:00,20.0 min,8.616,21.0,18.32278571428573,524.2877551020396,3287,-2.204,3.714020427112349,-,0.0,-
3J,134884:302949,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,10:37:00,10:55:00,1.0 min,6.602,18.0,16.407619047619054,542.6448979591777,3286,-2.061,3.635262041805513,Waterfront Terminal,6.602,10:55:00
3J,134901:299991,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,11:15:00,11:36:00,20.0 min,8.616,21.0,18.32278571428573,524.2877551020396,3287,-2.204,3.714020427112349,-,0.0,-
3J,134886:303132,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,11:37:00,11:55:00,1.0 min,6.602,18.0,16.407619047619054,542.6448979591777,3286,-2.061,3.635262041805513,Waterfront Terminal,6.602,11:55:00
3J,134903:299672,JUMBO GARDENS to Sherwood Dr.,Waterfront Terminal,Sherwood & Valley,12:15:00,12:36:00,20.0 min,8.616,21.0,18.32278571428573,524.2877551020396,3287,-2.204,3.714020427112349,-,0.0,-
3J,134888:303156,JUMBO GARDENS to Airport,Sherwood & Valley,Waterfront Terminal,12:37:00,12:55:00,1.0 min,6.602,18.0,16.407619047619054,542.6448979591777,3286,-2.061,3.635262041805513,Waterfront Terminal,6.602,12:55:00
