route_id,trip_id,trip_headsign,origin,destination,start_time,end_time,delay,total_distance,total_time,avg_speed,avg_acceleration,shape_id,road_grade,stop_density,has_station,dist_to_station,time_at_station
3M,135676:300162,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,06:25:00,06:44:00,0 min,7.179,19.0,17.17984000000001,330.57536000000056,3149,-1.562,3.482379161443098,City Hall Terminal,7.179,06:44:00
3M,135564:301619,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,07:00:00,07:29:00,16.0 min,8.491,29.0,13.818049261083749,266.3142237860674,3279,-1.743,3.415380991638205,Waterfront Terminal,8.491,07:29:00
3M,135696:299795,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,07:30:00,07:59:00,1.0 min,7.828,29.0,13.095253333333323,195.80785777777743,3277,-1.562,3.193663771078181,City Hall Terminal,7.828,07:59:00
3M,135578:300760,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,08:00:00,08:29:00,1.0 min,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,3.415380991638205,Waterfront Terminal,8.491,08:29:00
3M,135714:299947,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,08:30:00,08:59:00,1.0 min,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,3.193663771078181,City Hall Terminal,7.828,08:59:00
3M,135592:301716,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,09:00:00,09:29:00,1.0 min,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,3.415380991638205,Waterfront Terminal,8.491,09:29:00
3M,135731:299454,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,09:30:00,09:59:00,1.0 min,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,3.193663771078181,City Hall Terminal,7.828,09:59:00
3M,135347:300818,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,10:00:00,10:29:00,1.0 min,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,3.415380991638205,Waterfront Terminal,8.491,10:29:00
3M,135380:300584,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,10:30:00,10:59:00,1.0 min,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,3.193663771078181,City Hall Terminal,7.828,10:59:00
3M,135351:300109,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,11:00:00,11:29:00,1.0 min,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,3.415380991638205,Waterfront Terminal,8.491,11:29:00
3M,135384:300253,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,11:30:00,11:59:00,1.0 min,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,3.193663771078181,City Hall Terminal,7.828,11:59:00
3M,135355:299447,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,12:00:00,12:29:00,1.0 min,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,3.415380991638205,Waterfront Terminal,8.491,12:29:00
3M,135388:299394,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,12:30:00,12:59:00,1.0 min,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,3.193663771078181,City Hall Terminal,7.828,12:59:00
3M,135359:300239,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,13:00:00,13:29:00,1.0 min,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,3.415380991638205,Waterfront Terminal,8.491,13:29:00
3M,135392:300045,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,13:30:00,13:59:00,1.0 min,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,3.193663771078181,City Hall Terminal,7.828,13:59:00
3M,135363:300415,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,14:00:00,14:29:00,1.0 min,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,3.415380991638205,Waterfront Terminal,8.491,14:29:00
3M,135396:300528,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,14:30:00,14:59:00,1.0 min,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,3.193663771078181,City Hall Terminal,7.828,14:59:00
3M,135367:299261,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,15:00:00,15:29:00,1.0 min,8.491,29.0,13.818049261083784,266.3142237860669,3279,-1.743,3.415380991638205,Waterfront Terminal,8.491,15:29:00
3M,135400:300793,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,15:30:00,15:59:00,1.0 min,7.828,29.0,13.095253333333355,195.80785777777783,3277,-1.562,3.193663771078181,City Hall Terminal,7.828,15:59:00
3M,135371:301146,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,16:00:00,16:29:00,1.0 min,8.491,29.0,13.818049261083678,266.3142237860655,3279,-1.743,3.415380991638205,Waterfront Terminal,8.491,16:29:00
3M,135404:300448,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,16:30:00,16:59:00,1.0 min,7.828,29.0,13.095253333333284,195.807857777776,3277,-1.562,3.193663771078181,City Hall Terminal,7.828,16:59:00
3M,135375:300901,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,17:00:00,17:29:00,1.0 min,8.491,29.0,13.818049261083678,266.3142237860655,3279,-1.743,3.415380991638205,Waterfront Terminal,8.491,17:29:00
3M,135408:301708,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,17:30:00,17:59:00,1.0 min,7.828,29.0,13.095253333333284,195.807857777776,3277,-1.562,3.193663771078181,City Hall Terminal,7.828,17:59:00
